anchor,hyponym,class,stimulus
food,pesto,taxonomic_low_sim,"Given that pesto is daxable, is it true that food is daxable? Answer with Yes/No:"
food,waffle,taxonomic_low_sim,"Given that waffles are daxable, is it true that food is daxable? Answer with Yes/No:"
game,hopscotch,taxonomic_low_sim,"Given that hopscotches are daxable, is it true that games are daxable? Answer with Yes/No:"
water vehicle,boat,taxonomic_high_sim,"Given that boats are daxable, is it true that water vehicles are daxable? Answer with Yes/No:"
food,cordon bleu,taxonomic_low_sim,"Given that cordon bleu sandwiches are daxable, is it true that food is daxable? Answer with Yes/No:"
breakfast,omelet,taxonomic_high_sim,"Given that an omelet is daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
clothing,uniform,taxonomic_high_sim,"Given that uniforms are daxable, is it true that clothings are daxable? Answer with Yes/No:"
food,soup,taxonomic_high_sim,"Given that soups are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,hammer,taxonomic_high_sim,"Given that hammers are daxable, is it true that tools are daxable? Answer with Yes/No:"
kitchen tool,spatula,taxonomic_high_sim,"Given that spatulas are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
tool,chicken wire,taxonomic_low_sim,"Given that chicken wires are daxable, is it true that tools are daxable? Answer with Yes/No:"
tool,thermometer,taxonomic_low_sim,"Given that thermometers are daxable, is it true that tools are daxable? Answer with Yes/No:"
electronic device,slicer,taxonomic_high_sim,"Given that slicers are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
office supply,rubber band,taxonomic_high_sim,"Given that rubber bands are daxable, is it true that office supplies are daxable? Answer with Yes/No:"
fastener,padlock,taxonomic_low_sim,"Given that padlocks are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
kitchen equipment,toaster,taxonomic_high_sim,"Given that toasters are daxable, is it true that kitchen equipment are daxable? Answer with Yes/No:"
footwear,flip-flop,taxonomic_high_sim,"Given that flip-flops are daxable, is it true that footwears are daxable? Answer with Yes/No:"
toy,slingshot,taxonomic_high_sim,"Given that slingshots are daxable, is it true that toys are daxable? Answer with Yes/No:"
footwear,flipper,taxonomic_high_sim,"Given that flippers are daxable, is it true that footwears are daxable? Answer with Yes/No:"
mammal,yak,taxonomic_low_sim,"Given that yaks are daxable, is it true that mammals are daxable? Answer with Yes/No:"
tool,chain,taxonomic_high_sim,"Given that chains are daxable, is it true that tools are daxable? Answer with Yes/No:"
vehicle,seaplane,taxonomic_low_sim,"Given that seaplanes are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
dessert,chocolate,taxonomic_low_sim,"Given that chocolates are daxable, is it true that desserts are daxable? Answer with Yes/No:"
weapon,dagger,taxonomic_high_sim,"Given that daggers are daxable, is it true that weapons are daxable? Answer with Yes/No:"
food,yogurt,taxonomic_high_sim,"Given that yogurts are daxable, is it true that food is daxable? Answer with Yes/No:"
food,tortellini,taxonomic_low_sim,"Given that tortellini is daxable, is it true that food is daxable? Answer with Yes/No:"
food,radish,taxonomic_low_sim,"Given that radishes are daxable, is it true that food is daxable? Answer with Yes/No:"
container,canister,taxonomic_high_sim,"Given that canisters are daxable, is it true that containers are daxable? Answer with Yes/No:"
auto part,steering wheel,taxonomic_low_sim,"Given that steering wheels are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
home decor,hourglass,taxonomic_low_sim,"Given that hourglasses are daxable, is it true that home decors are daxable? Answer with Yes/No:"
vehicle,garbage truck,taxonomic_high_sim,"Given that garbage trucks are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
candy,caramel,taxonomic_high_sim,"Given that caramels are daxable, is it true that candies are daxable? Answer with Yes/No:"
clothing,corset,taxonomic_low_sim,"Given that corsets are daxable, is it true that clothings are daxable? Answer with Yes/No:"
garden tool,rake,taxonomic_high_sim,"Given that rakes are daxable, is it true that garden tools are daxable? Answer with Yes/No:"
tool,ratchet,taxonomic_low_sim,"Given that ratchets are daxable, is it true that tools are daxable? Answer with Yes/No:"
protective clothing,bulletproof vest,taxonomic_high_sim,"Given that bulletproof vests are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
protective clothing,raincoat,taxonomic_high_sim,"Given that raincoats are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
food,rhubarb,taxonomic_high_sim,"Given that rhubarbs are daxable, is it true that food is daxable? Answer with Yes/No:"
food,raisin,taxonomic_low_sim,"Given that raisins are daxable, is it true that food is daxable? Answer with Yes/No:"
container,bottle,taxonomic_high_sim,"Given that bottles are daxable, is it true that containers are daxable? Answer with Yes/No:"
mammal,chinchilla,taxonomic_high_sim,"Given that chinchillas are daxable, is it true that mammals are daxable? Answer with Yes/No:"
food,sardine,taxonomic_high_sim,"Given that sardines are daxable, is it true that food is daxable? Answer with Yes/No:"
plant,spinach,taxonomic_high_sim,"Given that spinach is daxable, is it true that plants are daxable? Answer with Yes/No:"
food,muffin,taxonomic_high_sim,"Given that muffins are daxable, is it true that food is daxable? Answer with Yes/No:"
kitchen tool,juicer,taxonomic_high_sim,"Given that juicers are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
animal,goose,taxonomic_high_sim,"Given that geese are daxable, is it true that animals are daxable? Answer with Yes/No:"
animal,ant,taxonomic_high_sim,"Given that ants are daxable, is it true that animals are daxable? Answer with Yes/No:"
food,rabbit,taxonomic_high_sim,"Given that rabbits are daxable, is it true that food is daxable? Answer with Yes/No:"
dessert,cheesecake,taxonomic_high_sim,"Given that cheesecakes are daxable, is it true that desserts are daxable? Answer with Yes/No:"
food,peanut,taxonomic_high_sim,"Given that peanuts are daxable, is it true that food is daxable? Answer with Yes/No:"
container,coffee pot,taxonomic_low_sim,"Given that coffee pots are daxable, is it true that containers are daxable? Answer with Yes/No:"
breakfast,sausage,taxonomic_low_sim,"Given that sausages are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
vehicle,wagon,taxonomic_high_sim,"Given that wagons are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
plant,tulip,taxonomic_low_sim,"Given that tulips are daxable, is it true that plants are daxable? Answer with Yes/No:"
tool,spoon,taxonomic_low_sim,"Given that spoons are daxable, is it true that tools are daxable? Answer with Yes/No:"
dessert,cake,taxonomic_high_sim,"Given that cakes are daxable, is it true that desserts are daxable? Answer with Yes/No:"
clothing,bow,taxonomic_low_sim,"Given that a bow is daxable, is it true that clothings are daxable? Answer with Yes/No:"
candy,taffy,taxonomic_low_sim,"Given that taffies are daxable, is it true that candies are daxable? Answer with Yes/No:"
tool,trowel,taxonomic_high_sim,"Given that trowels are daxable, is it true that tools are daxable? Answer with Yes/No:"
container,bucket,taxonomic_high_sim,"Given that buckets are daxable, is it true that containers are daxable? Answer with Yes/No:"
auto part,exhaust pipe,taxonomic_low_sim,"Given that exhaust pipes are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
toiletry,deodorant,taxonomic_high_sim,"Given that deodorants are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
tool,brush,taxonomic_low_sim,"Given that brushes are daxable, is it true that tools are daxable? Answer with Yes/No:"
medical equipment,tweezers,taxonomic_high_sim,"Given that tweezers are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
food,potpie,taxonomic_low_sim,"Given that potpies are daxable, is it true that food is daxable? Answer with Yes/No:"
food,vegetable,taxonomic_high_sim,"Given that vegetables are daxable, is it true that food is daxable? Answer with Yes/No:"
mammal,panda,taxonomic_high_sim,"Given that pandas are daxable, is it true that mammals are daxable? Answer with Yes/No:"
tool,scraper,taxonomic_high_sim,"Given that scrapers are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,ravioli,taxonomic_low_sim,"Given that ravioli is daxable, is it true that food is daxable? Answer with Yes/No:"
toiletry,nail polish,taxonomic_low_sim,"Given that nail polish is daxable, is it true that toiletries are daxable? Answer with Yes/No:"
food,maple syrup,taxonomic_low_sim,"Given that maple syrups are daxable, is it true that food is daxable? Answer with Yes/No:"
mammal,walrus,taxonomic_low_sim,"Given that walruses are daxable, is it true that mammals are daxable? Answer with Yes/No:"
food,spaghetti,taxonomic_high_sim,"Given that spaghetti is daxable, is it true that food is daxable? Answer with Yes/No:"
candy,candy bar,taxonomic_high_sim,"Given that candy bars are daxable, is it true that candies are daxable? Answer with Yes/No:"
fruit,peach,taxonomic_high_sim,"Given that peaches are daxable, is it true that fruits are daxable? Answer with Yes/No:"
auto part,windshield wiper,taxonomic_high_sim,"Given that windshield wipers are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
container,can,taxonomic_high_sim,"Given that cans are daxable, is it true that containers are daxable? Answer with Yes/No:"
tool,match,taxonomic_low_sim,"Given that matches are daxable, is it true that tools are daxable? Answer with Yes/No:"
vehicle,hovercraft,taxonomic_low_sim,"Given that hovercrafts are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
toiletry,curling iron,taxonomic_low_sim,"Given that curling irons are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
animal,polar bear,taxonomic_low_sim,"Given that polar bears are daxable, is it true that animals are daxable? Answer with Yes/No:"
fastener,bolt,taxonomic_high_sim,"Given that bolts are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
food,bok choy,taxonomic_low_sim,"Given that bok choys are daxable, is it true that food is daxable? Answer with Yes/No:"
weapon,machete,taxonomic_high_sim,"Given that machetes are daxable, is it true that weapons are daxable? Answer with Yes/No:"
dessert,milkshake,taxonomic_low_sim,"Given that milkshakes are daxable, is it true that desserts are daxable? Answer with Yes/No:"
mammal,tiger,taxonomic_low_sim,"Given that tigers are daxable, is it true that mammals are daxable? Answer with Yes/No:"
tool,pipe,taxonomic_low_sim,"Given that pipes are daxable, is it true that tools are daxable? Answer with Yes/No:"
sea animal,sea urchin,taxonomic_high_sim,"Given that sea urchins are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
garden tool,watering can,taxonomic_high_sim,"Given that watering cans are daxable, is it true that garden tools are daxable? Answer with Yes/No:"
condiment,mustard,taxonomic_low_sim,"Given that mustards are daxable, is it true that condiments are daxable? Answer with Yes/No:"
electronic device,food processor,taxonomic_low_sim,"Given that food processors are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
food,dumpling,taxonomic_low_sim,"Given that dumplings are daxable, is it true that food is daxable? Answer with Yes/No:"
school supply,folder,taxonomic_low_sim,"Given that folders are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
auto part,roof rack,taxonomic_high_sim,"Given that roof racks are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
container,test tube,taxonomic_low_sim,"Given that test tubes are daxable, is it true that containers are daxable? Answer with Yes/No:"
kitchen tool,sifter,taxonomic_high_sim,"Given that sifters are daxable, is it true that kitchen tools are daxable? Answer with Yes/No:"
food,pasta,taxonomic_high_sim,"Given that pastas are daxable, is it true that food is daxable? Answer with Yes/No:"
accessory,bowtie,taxonomic_low_sim,"Given that bowties are daxable, is it true that accessories are daxable? Answer with Yes/No:"
food,green beans,taxonomic_low_sim,"Given that green beans are daxable, is it true that food is daxable? Answer with Yes/No:"
clothing,boot,taxonomic_low_sim,"Given that boots are daxable, is it true that clothings are daxable? Answer with Yes/No:"
furniture,mattress,taxonomic_high_sim,"Given that mattresses are daxable, is it true that furniture is daxable? Answer with Yes/No:"
fruit,cherry,taxonomic_high_sim,"Given that cherries are daxable, is it true that fruits are daxable? Answer with Yes/No:"
tool,latch,taxonomic_high_sim,"Given that latches are daxable, is it true that tools are daxable? Answer with Yes/No:"
protective clothing,lab coat,taxonomic_high_sim,"Given that lab coats are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
mammal,leopard,taxonomic_high_sim,"Given that leopards are daxable, is it true that mammals are daxable? Answer with Yes/No:"
clothing,snowshoe,taxonomic_high_sim,"Given that snowshoes are daxable, is it true that clothings are daxable? Answer with Yes/No:"
home decor,wallpaper,taxonomic_high_sim,"Given that wallpapers are daxable, is it true that home decors are daxable? Answer with Yes/No:"
animal,monkey,taxonomic_high_sim,"Given that monkeys are daxable, is it true that animals are daxable? Answer with Yes/No:"
headwear,hood,taxonomic_high_sim,"Given that hoods are daxable, is it true that headwears are daxable? Answer with Yes/No:"
animal,earwig,taxonomic_low_sim,"Given that earwigs are daxable, is it true that animals are daxable? Answer with Yes/No:"
mammal,rabbit,taxonomic_high_sim,"Given that rabbits are daxable, is it true that mammals are daxable? Answer with Yes/No:"
home decor,pillow,taxonomic_low_sim,"Given that pillows are daxable, is it true that home decors are daxable? Answer with Yes/No:"
dessert,creme brulee,taxonomic_low_sim,"Given that creme brulee is daxable, is it true that desserts are daxable? Answer with Yes/No:"
food,honey,taxonomic_low_sim,"Given that honey is daxable, is it true that food is daxable? Answer with Yes/No:"
food,crepe,taxonomic_high_sim,"Given that crepes are daxable, is it true that food is daxable? Answer with Yes/No:"
women's clothing,lingerie,taxonomic_low_sim,"Given that a lingerie is daxable, is it true that women's clothings are daxable? Answer with Yes/No:"
tool,sawhorse,taxonomic_low_sim,"Given that sawhorses are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,flour,taxonomic_low_sim,"Given that flours are daxable, is it true that food is daxable? Answer with Yes/No:"
sea animal,shrimp,taxonomic_low_sim,"Given that shrimps are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
food,watermelon,taxonomic_low_sim,"Given that watermelons are daxable, is it true that food is daxable? Answer with Yes/No:"
clothing,nightshirt,taxonomic_low_sim,"Given that nightshirts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
home decor,aquarium,taxonomic_low_sim,"Given that aquariums are daxable, is it true that home decors are daxable? Answer with Yes/No:"
container,wheelbarrow,taxonomic_high_sim,"Given that wheelbarrows are daxable, is it true that containers are daxable? Answer with Yes/No:"
fastener,strap,taxonomic_low_sim,"Given that straps are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
food,cranberry,taxonomic_low_sim,"Given that cranberries are daxable, is it true that food is daxable? Answer with Yes/No:"
footwear,stockings,taxonomic_low_sim,"Given that stockings are daxable, is it true that footwears are daxable? Answer with Yes/No:"
dessert,cupcake,taxonomic_high_sim,"Given that cupcakes are daxable, is it true that desserts are daxable? Answer with Yes/No:"
seafood,clam,taxonomic_high_sim,"Given that clams are daxable, is it true that seafood is daxable? Answer with Yes/No:"
clothing,loincloth,taxonomic_high_sim,"Given that loincloths are daxable, is it true that clothings are daxable? Answer with Yes/No:"
tool,mop,taxonomic_low_sim,"Given that mops are daxable, is it true that tools are daxable? Answer with Yes/No:"
food,peppermint,taxonomic_high_sim,"Given that peppermints are daxable, is it true that food is daxable? Answer with Yes/No:"
food,seafood,taxonomic_high_sim,"Given that seafood is daxable, is it true that food is daxable? Answer with Yes/No:"
clothing,hat,taxonomic_low_sim,"Given that hats are daxable, is it true that clothings are daxable? Answer with Yes/No:"
tool,tweezers,taxonomic_high_sim,"Given that tweezers are daxable, is it true that tools are daxable? Answer with Yes/No:"
clothing,underwear,taxonomic_high_sim,"Given that an underwear is daxable, is it true that clothings are daxable? Answer with Yes/No:"
school supply,notebook,taxonomic_low_sim,"Given that notebooks are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
food,chicken,taxonomic_high_sim,"Given that a chicken is daxable, is it true that food is daxable? Answer with Yes/No:"
furniture,recliner,taxonomic_high_sim,"Given that recliners are daxable, is it true that furniture is daxable? Answer with Yes/No:"
food,sandwich,taxonomic_low_sim,"Given that sandwiches are daxable, is it true that food is daxable? Answer with Yes/No:"
electronic device,smoke alarm,taxonomic_low_sim,"Given that smoke alarms are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
clothing,shoe,taxonomic_low_sim,"Given that shoes are daxable, is it true that clothings are daxable? Answer with Yes/No:"
home decor,album,taxonomic_low_sim,"Given that albums are daxable, is it true that home decors are daxable? Answer with Yes/No:"
tool,sledgehammer,taxonomic_high_sim,"Given that sledgehammers are daxable, is it true that tools are daxable? Answer with Yes/No:"
accessory,belt buckle,taxonomic_low_sim,"Given that belt buckles are daxable, is it true that accessories are daxable? Answer with Yes/No:"
animal,spider,taxonomic_low_sim,"Given that spiders are daxable, is it true that animals are daxable? Answer with Yes/No:"
vegetable,artichoke,taxonomic_high_sim,"Given that artichokes are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
container,mug,taxonomic_high_sim,"Given that mugs are daxable, is it true that containers are daxable? Answer with Yes/No:"
weapon,slingshot,taxonomic_low_sim,"Given that slingshots are daxable, is it true that weapons are daxable? Answer with Yes/No:"
fastener,peg,taxonomic_high_sim,"Given that pegs are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
musical instrument,french horn,taxonomic_high_sim,"Given that french horns are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
musical instrument,saxophone,taxonomic_low_sim,"Given that saxophones are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
container,wok,taxonomic_low_sim,"Given that woks are daxable, is it true that containers are daxable? Answer with Yes/No:"
animal,penguin,taxonomic_low_sim,"Given that penguins are daxable, is it true that animals are daxable? Answer with Yes/No:"
fastener,clothespin,taxonomic_high_sim,"Given that clothespins are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
accessory,headband,taxonomic_high_sim,"Given that headbands are daxable, is it true that accessories are daxable? Answer with Yes/No:"
vehicle,rickshaw,taxonomic_low_sim,"Given that rickshaws are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
electronic device,tablet,taxonomic_high_sim,"Given that tablets are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
auto part,headrest,taxonomic_high_sim,"Given that headrests are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
garden tool,trowel,taxonomic_low_sim,"Given that trowels are daxable, is it true that garden tools are daxable? Answer with Yes/No:"
sea animal,clam,taxonomic_high_sim,"Given that clams are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
toiletry,mascara,taxonomic_low_sim,"Given that mascaras are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
tool,broom,taxonomic_high_sim,"Given that brooms are daxable, is it true that tools are daxable? Answer with Yes/No:"
container,wine cooler,taxonomic_low_sim,"Given that wine coolers are daxable, is it true that containers are daxable? Answer with Yes/No:"
food,hotdog,taxonomic_high_sim,"Given that hotdogs are daxable, is it true that food is daxable? Answer with Yes/No:"
food,grape,taxonomic_low_sim,"Given that grapes are daxable, is it true that food is daxable? Answer with Yes/No:"
vegetable,cilantro,taxonomic_low_sim,"Given that cilantros are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
mammal,orangutan,taxonomic_low_sim,"Given that orangutans are daxable, is it true that mammals are daxable? Answer with Yes/No:"
tool,cord,taxonomic_low_sim,"Given that cords are daxable, is it true that tools are daxable? Answer with Yes/No:"
clothing,fishnet stockings,taxonomic_low_sim,"Given that fishnet stockings are daxable, is it true that clothings are daxable? Answer with Yes/No:"
container,bathtub,taxonomic_low_sim,"Given that bathtubs are daxable, is it true that containers are daxable? Answer with Yes/No:"
drink,soda,taxonomic_high_sim,"Given that sodas are daxable, is it true that drinks are daxable? Answer with Yes/No:"
food,cookie,taxonomic_high_sim,"Given that cookies are daxable, is it true that food is daxable? Answer with Yes/No:"
food,dessert,taxonomic_high_sim,"Given that desserts are daxable, is it true that food is daxable? Answer with Yes/No:"
food,lollipop,taxonomic_low_sim,"Given that lollipops are daxable, is it true that food is daxable? Answer with Yes/No:"
mammal,antelope,taxonomic_low_sim,"Given that antelopes are daxable, is it true that mammals are daxable? Answer with Yes/No:"
food,blueberry,taxonomic_low_sim,"Given that blueberries are daxable, is it true that food is daxable? Answer with Yes/No:"
toy,dollhouse,taxonomic_high_sim,"Given that dollhouses are daxable, is it true that toys are daxable? Answer with Yes/No:"
furniture,highchair,taxonomic_low_sim,"Given that highchairs are daxable, is it true that furniture is daxable? Answer with Yes/No:"
animal,gopher,taxonomic_low_sim,"Given that gophers are daxable, is it true that animals are daxable? Answer with Yes/No:"
toiletry,flatiron,taxonomic_low_sim,"Given that flatirons are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
tool,flyswatter,taxonomic_low_sim,"Given that flyswatters are daxable, is it true that tools are daxable? Answer with Yes/No:"
medical equipment,inhaler,taxonomic_high_sim,"Given that inhalers are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
container,coffin,taxonomic_low_sim,"Given that coffins are daxable, is it true that containers are daxable? Answer with Yes/No:"
school supply,lunchbox,taxonomic_low_sim,"Given that lunchboxes are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
animal,crow,taxonomic_low_sim,"Given that crows are daxable, is it true that animals are daxable? Answer with Yes/No:"
toy,squirt gun,taxonomic_high_sim,"Given that squirt guns are daxable, is it true that toys are daxable? Answer with Yes/No:"
food,ice cream,taxonomic_low_sim,"Given that ice creams are daxable, is it true that food is daxable? Answer with Yes/No:"
electronic device,blower,taxonomic_high_sim,"Given that blowers are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
protective clothing,life jacket,taxonomic_high_sim,"Given that life jackets are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
furniture,rocking chair,taxonomic_low_sim,"Given that rocking chairs are daxable, is it true that furniture is daxable? Answer with Yes/No:"
tool,scoop,taxonomic_low_sim,"Given that a scoop is daxable, is it true that tools are daxable? Answer with Yes/No:"
mammal,hamster,taxonomic_high_sim,"Given that hamsters are daxable, is it true that mammals are daxable? Answer with Yes/No:"
food,strawberry,taxonomic_low_sim,"Given that strawberries are daxable, is it true that food is daxable? Answer with Yes/No:"
animal,goat,taxonomic_high_sim,"Given that goats are daxable, is it true that animals are daxable? Answer with Yes/No:"
toy,train set,taxonomic_low_sim,"Given that train sets are daxable, is it true that toys are daxable? Answer with Yes/No:"
food,toast,taxonomic_low_sim,"Given that toasts are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,anvil,taxonomic_high_sim,"Given that anvils are daxable, is it true that tools are daxable? Answer with Yes/No:"
sea animal,snail,taxonomic_low_sim,"Given that snails are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
office supply,ink,taxonomic_low_sim,"Given that ink is daxable, is it true that office supplies are daxable? Answer with Yes/No:"
clothing,beanie,taxonomic_low_sim,"Given that beanies are daxable, is it true that clothings are daxable? Answer with Yes/No:"
auto part,dashboard,taxonomic_high_sim,"Given that dashboards are daxable, is it true that auto parts are daxable? Answer with Yes/No:"
medical equipment,walker,taxonomic_low_sim,"Given that walkers are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
vehicle,ferry,taxonomic_high_sim,"Given that ferries are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
outerwear,fur coat,taxonomic_low_sim,"Given that fur coats are daxable, is it true that outerwear is daxable? Answer with Yes/No:"
food,guacamole,taxonomic_low_sim,"Given that guacamoles are daxable, is it true that food is daxable? Answer with Yes/No:"
breakfast,croissant,taxonomic_high_sim,"Given that croissants are daxable, is it true that breakfasts are daxable? Answer with Yes/No:"
dessert,cheese,taxonomic_low_sim,"Given that cheeses are daxable, is it true that desserts are daxable? Answer with Yes/No:"
tool,staple gun,taxonomic_low_sim,"Given that staple guns are daxable, is it true that tools are daxable? Answer with Yes/No:"
clothing,panties,taxonomic_high_sim,"Given that panties are daxable, is it true that clothings are daxable? Answer with Yes/No:"
fastener,staple,taxonomic_high_sim,"Given that staples are daxable, is it true that fasteners are daxable? Answer with Yes/No:"
mammal,mouse,taxonomic_high_sim,"Given that mice are daxable, is it true that mammals are daxable? Answer with Yes/No:"
sea animal,shark,taxonomic_low_sim,"Given that sharks are daxable, is it true that sea animals are daxable? Answer with Yes/No:"
weapon,cleaver,taxonomic_low_sim,"Given that cleavers are daxable, is it true that weapons are daxable? Answer with Yes/No:"
mammal,alpaca,taxonomic_low_sim,"Given that alpacas are daxable, is it true that mammals are daxable? Answer with Yes/No:"
toiletry,washcloth,taxonomic_high_sim,"Given that washcloths are daxable, is it true that toiletries are daxable? Answer with Yes/No:"
container,toolbox,taxonomic_high_sim,"Given that toolboxes are daxable, is it true that containers are daxable? Answer with Yes/No:"
home decor,poster,taxonomic_high_sim,"Given that posters are daxable, is it true that home decors are daxable? Answer with Yes/No:"
container,piggy bank,taxonomic_low_sim,"Given that piggy banks are daxable, is it true that containers are daxable? Answer with Yes/No:"
insect,mosquito,taxonomic_high_sim,"Given that mosquitoes are daxable, is it true that insects are daxable? Answer with Yes/No:"
food,carrot,taxonomic_low_sim,"Given that carrots are daxable, is it true that food is daxable? Answer with Yes/No:"
animal,sheep,taxonomic_low_sim,"Given that sheeps are daxable, is it true that animals are daxable? Answer with Yes/No:"
electronic device,generator,taxonomic_high_sim,"Given that generators are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
seafood,catfish,taxonomic_high_sim,"Given that a catfish is daxable, is it true that seafood is daxable? Answer with Yes/No:"
mammal,meerkat,taxonomic_high_sim,"Given that meerkats are daxable, is it true that mammals are daxable? Answer with Yes/No:"
medical equipment,ice pack,taxonomic_low_sim,"Given that ice packs are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
vehicle,skateboard,taxonomic_low_sim,"Given that skateboards are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
home decor,coaster,taxonomic_high_sim,"Given that coasters are daxable, is it true that home decors are daxable? Answer with Yes/No:"
clothing,polo shirt,taxonomic_low_sim,"Given that polo shirts are daxable, is it true that clothings are daxable? Answer with Yes/No:"
mammal,wolf,taxonomic_high_sim,"Given that wolves are daxable, is it true that mammals are daxable? Answer with Yes/No:"
electronic device,webcam,taxonomic_low_sim,"Given that webcams are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
dessert,birthday cake,taxonomic_low_sim,"Given that birthday cakes are daxable, is it true that desserts are daxable? Answer with Yes/No:"
electronic device,toaster,taxonomic_high_sim,"Given that toasters are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
animal,giraffe,taxonomic_high_sim,"Given that giraffes are daxable, is it true that animals are daxable? Answer with Yes/No:"
medical equipment,bandage,taxonomic_high_sim,"Given that bandages are daxable, is it true that medical equipments are daxable? Answer with Yes/No:"
tool,wrench,taxonomic_high_sim,"Given that wrenches are daxable, is it true that tools are daxable? Answer with Yes/No:"
vegetable,pea,taxonomic_high_sim,"Given that peas are daxable, is it true that vegetables are daxable? Answer with Yes/No:"
musical instrument,mandolin,taxonomic_low_sim,"Given that mandolins are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
container,bowl,taxonomic_high_sim,"Given that bowls are daxable, is it true that containers are daxable? Answer with Yes/No:"
home decor,statue,taxonomic_low_sim,"Given that statues are daxable, is it true that home decors are daxable? Answer with Yes/No:"
accessory,buckle,taxonomic_low_sim,"Given that a buckle is daxable, is it true that accessories are daxable? Answer with Yes/No:"
women's clothing,dress,taxonomic_high_sim,"Given that dresses are daxable, is it true that women's clothings are daxable? Answer with Yes/No:"
seafood,caviar,taxonomic_low_sim,"Given that caviar is daxable, is it true that seafood is daxable? Answer with Yes/No:"
protective clothing,spacesuit,taxonomic_low_sim,"Given that spacesuits are daxable, is it true that protective clothing is daxable? Answer with Yes/No:"
electronic device,hotplate,taxonomic_low_sim,"Given that hotplates are daxable, is it true that electronic devices are daxable? Answer with Yes/No:"
auto part,grille,taxonomic_low_sim,"Given that a grill is daxable, is it true that auto parts are daxable? Answer with Yes/No:"
school supply,eraser,taxonomic_low_sim,"Given that erasers are daxable, is it true that school supplies are daxable? Answer with Yes/No:"
weapon,sword,taxonomic_high_sim,"Given that swords are daxable, is it true that weapons are daxable? Answer with Yes/No:"
musical instrument,horn,taxonomic_high_sim,"Given that horns are daxable, is it true that musical instruments are daxable? Answer with Yes/No:"
vehicle,snowplow,taxonomic_low_sim,"Given that snowplows are daxable, is it true that vehicles are daxable? Answer with Yes/No:"
food,tomato,taxonomic_high_sim,"Given that tomatoes are daxable, is it true that food is daxable? Answer with Yes/No:"
tool,dustpan,taxonomic_high_sim,"Given that dustpans are daxable, is it true that tools are daxable? Answer with Yes/No:"
