anchor,hyponym,class
candy,gumdrop,taxonomic_high_sim
plant,parsley,taxonomic_low_sim
game,ticktacktoe,taxonomic_high_sim
tool,tank,taxonomic_low_sim
animal,calf,taxonomic_low_sim
plant,marijuana,taxonomic_low_sim
tool,scraper,taxonomic_high_sim
fastener,cufflink,taxonomic_high_sim
clothing,jumpsuit,taxonomic_low_sim
animal,anteater,taxonomic_high_sim
animal,clam,taxonomic_high_sim
kitchen equipment,slicer,taxonomic_low_sim
office supply,file,taxonomic_low_sim
breakfast,muffin,taxonomic_high_sim
food,brussels sprouts,taxonomic_low_sim
tool,saw,taxonomic_high_sim
tool,crowbar,taxonomic_high_sim
tool,staple gun,taxonomic_low_sim
food,rice,taxonomic_high_sim
livestock,bull,taxonomic_low_sim
office supply,pencil sharpener,taxonomic_high_sim
vegetable,gourd,taxonomic_low_sim
animal,bat,taxonomic_high_sim
animal,pheasant,taxonomic_low_sim
auto part,bumper,taxonomic_high_sim
game,computer,taxonomic_low_sim
breakfast,pancake,taxonomic_high_sim
livestock,goat,taxonomic_high_sim
weapon,bazooka,taxonomic_high_sim
food,burrito,taxonomic_low_sim
women's clothing,tube top,taxonomic_high_sim
clothing,sock,taxonomic_low_sim
condiment,cream cheese,taxonomic_low_sim
tool,scissors,taxonomic_high_sim
electronic device,centrifuge,taxonomic_low_sim
vehicle,boat,taxonomic_high_sim
clothing,lab coat,taxonomic_high_sim
food,okra,taxonomic_high_sim
food,crayfish,taxonomic_high_sim
jewelry,barrette,taxonomic_low_sim
container,syringe,taxonomic_low_sim
food,saffron,taxonomic_high_sim
animal,snail,taxonomic_low_sim
container,wallet,taxonomic_low_sim
animal,hippopotamus,taxonomic_high_sim
container,swimming pool,taxonomic_low_sim
animal,poodle,taxonomic_high_sim
food,corn,taxonomic_high_sim
food,oyster,taxonomic_low_sim
livestock,pig,taxonomic_low_sim
livestock,sheep,taxonomic_high_sim
plant,cabbage,taxonomic_low_sim
mammal,moose,taxonomic_low_sim
food,mussel,taxonomic_high_sim
food,poppy,taxonomic_low_sim
drink,latte,taxonomic_low_sim
animal,fly,taxonomic_low_sim
kitchen tool,peeler,taxonomic_high_sim
container,cooker,taxonomic_low_sim
animal,shark,taxonomic_low_sim
kitchen equipment,stove,taxonomic_high_sim
home decor,candelabra,taxonomic_high_sim
clothing,coat,taxonomic_high_sim
tool,scalpel,taxonomic_low_sim
animal,seagull,taxonomic_low_sim
electronic device,computer screen,taxonomic_high_sim
tool,nutcracker,taxonomic_low_sim
mammal,panther,taxonomic_high_sim
vehicle,firetruck,taxonomic_high_sim
tool,tweezers,taxonomic_high_sim
musical instrument,gong,taxonomic_high_sim
protective clothing,coverall,taxonomic_high_sim
animal,caterpillar,taxonomic_high_sim
footwear,iceskate,taxonomic_low_sim
clothing,bra,taxonomic_high_sim
food,lobster,taxonomic_high_sim
plant,daisy,taxonomic_low_sim
protective clothing,overalls,taxonomic_low_sim
animal,zebra,taxonomic_low_sim
accessory,handkerchief,taxonomic_high_sim
food,chili,taxonomic_low_sim
food,souffle,taxonomic_high_sim
container,backpack,taxonomic_low_sim
clothing,crown,taxonomic_low_sim
food,scallop,taxonomic_high_sim
fruit,avocado,taxonomic_high_sim
weapon,hammer,taxonomic_low_sim
animal,rat,taxonomic_high_sim
furniture,coffee table,taxonomic_low_sim
accessory,muff,taxonomic_high_sim
fastener,pin,taxonomic_high_sim
auto part,airbag,taxonomic_low_sim
clothing,cardigan,taxonomic_low_sim
clothing,lingerie,taxonomic_low_sim
vehicle,canoe,taxonomic_low_sim
food,raspberry,taxonomic_low_sim
dessert,pie,taxonomic_high_sim
tool,combination lock,taxonomic_low_sim
electronic device,defibrillator,taxonomic_low_sim
fruit,apple,taxonomic_low_sim
kitchen tool,eggbeater,taxonomic_low_sim
footwear,slipper,taxonomic_high_sim
breakfast,honey,taxonomic_low_sim
breakfast,crepe,taxonomic_high_sim
game,videogame,taxonomic_high_sim
kitchen tool,icepick,taxonomic_low_sim
animal,catfish,taxonomic_high_sim
musical instrument,clarinet,taxonomic_low_sim
home decor,stained glass,taxonomic_low_sim
water vehicle,tugboat,taxonomic_high_sim
food,syrup,taxonomic_low_sim
toiletry,soap,taxonomic_high_sim
dessert,whipped cream,taxonomic_low_sim
sea animal,manatee,taxonomic_low_sim
animal,badger,taxonomic_low_sim
breakfast,sandwich,taxonomic_low_sim
clothing,diaper,taxonomic_high_sim
vegetable,lettuce,taxonomic_high_sim
tool,pickax,taxonomic_high_sim
weapon,bow,taxonomic_low_sim
toiletry,nail file,taxonomic_low_sim
food,candy,taxonomic_high_sim
food,applesauce,taxonomic_low_sim
animal,snake,taxonomic_high_sim
food,beet,taxonomic_low_sim
musical instrument,cello,taxonomic_high_sim
fastener,paperclip,taxonomic_high_sim
seafood,seaweed,taxonomic_low_sim
clothing,snowsuit,taxonomic_high_sim
tool,rolling pin,taxonomic_low_sim
clothing,tie,taxonomic_low_sim
tool,sandpaper,taxonomic_low_sim
container,teacup,taxonomic_low_sim
insect,dragonfly,taxonomic_low_sim
seafood,octopus,taxonomic_low_sim
medical equipment,hearing aid,taxonomic_high_sim
fruit,kiwi,taxonomic_high_sim
game,domino,taxonomic_low_sim
medical equipment,defibrillator,taxonomic_low_sim
sea animal,whale,taxonomic_high_sim
plant,sunflower,taxonomic_low_sim
food,licorice,taxonomic_high_sim
musical instrument,violin,taxonomic_high_sim
tool,duct,taxonomic_low_sim
vegetable,spinach,taxonomic_high_sim
clothing,bowler hat,taxonomic_low_sim
headwear,crown,taxonomic_high_sim
women's clothing,headscarf,taxonomic_low_sim
water vehicle,ship,taxonomic_high_sim
insect,praying mantis,taxonomic_low_sim
electronic device,hairdryer,taxonomic_low_sim
mammal,kitten,taxonomic_low_sim
bird,hummingbird,taxonomic_high_sim
animal,bison,taxonomic_low_sim
musical instrument,banjo,taxonomic_low_sim
tool,rake,taxonomic_high_sim
condiment,sauce,taxonomic_high_sim
tool,peg,taxonomic_low_sim
tool,can opener,taxonomic_low_sim
toy,frisbee,taxonomic_high_sim
tool,pin,taxonomic_low_sim
electronic device,scanner,taxonomic_high_sim
container,closet,taxonomic_low_sim
animal,rooster,taxonomic_low_sim
tool,wrench,taxonomic_high_sim
furniture,hammock,taxonomic_low_sim
fastener,chain,taxonomic_high_sim
food,ice-cream cone,taxonomic_low_sim
women's clothing,leggings,taxonomic_low_sim
electronic device,treadmill,taxonomic_low_sim
toiletry,comb,taxonomic_low_sim
musical instrument,cymbal,taxonomic_high_sim
bird,pigeon,taxonomic_high_sim
food,lamb chop,taxonomic_low_sim
accessory,bandana,taxonomic_high_sim
weapon,baton,taxonomic_low_sim
outerwear,shawl,taxonomic_low_sim
home decor,gourd,taxonomic_low_sim
animal,weasel,taxonomic_high_sim
tool,screwdriver,taxonomic_high_sim
food,basil,taxonomic_low_sim
fastener,belt buckle,taxonomic_low_sim
clothing,ski boots,taxonomic_low_sim
fastener,thumbtack,taxonomic_high_sim
food,fig,taxonomic_high_sim
tool,magnifying glass,taxonomic_low_sim
fastener,zipper,taxonomic_high_sim
toiletry,makeup,taxonomic_high_sim
electronic device,coffeemaker,taxonomic_low_sim
school supply,calculator,taxonomic_low_sim
accessory,cufflink,taxonomic_high_sim
outerwear,blazer,taxonomic_low_sim
food,pastry,taxonomic_high_sim
sea animal,seahorse,taxonomic_low_sim
food,orange,taxonomic_low_sim
weapon,trident,taxonomic_low_sim
accessory,cummerbund,taxonomic_low_sim
food,turkey,taxonomic_high_sim
toiletry,swab,taxonomic_high_sim
kitchen tool,knife,taxonomic_low_sim
food,chips,taxonomic_low_sim
clothing,dress,taxonomic_high_sim
dessert,donut,taxonomic_high_sim
school supply,notepad,taxonomic_low_sim
tool,wire cutters,taxonomic_high_sim
candy,marshmallow,taxonomic_low_sim
clothing,suspenders,taxonomic_high_sim
furniture,desk,taxonomic_high_sim
food,nacho,taxonomic_low_sim
toy,noisemaker,taxonomic_high_sim
container,shopping cart,taxonomic_low_sim
vehicle,roadsweeper,taxonomic_high_sim
seafood,eel,taxonomic_high_sim
accessory,patch,taxonomic_high_sim
headwear,bowler hat,taxonomic_low_sim
food,pesto,taxonomic_low_sim
food,waffle,taxonomic_low_sim
game,hopscotch,taxonomic_low_sim
water vehicle,boat,taxonomic_high_sim
food,cordon bleu,taxonomic_low_sim
breakfast,omelet,taxonomic_high_sim
clothing,uniform,taxonomic_high_sim
food,soup,taxonomic_high_sim
tool,hammer,taxonomic_high_sim
kitchen tool,spatula,taxonomic_high_sim
tool,chicken wire,taxonomic_low_sim
tool,thermometer,taxonomic_low_sim
electronic device,slicer,taxonomic_high_sim
office supply,rubber band,taxonomic_high_sim
fastener,padlock,taxonomic_low_sim
kitchen equipment,toaster,taxonomic_high_sim
footwear,flip-flop,taxonomic_high_sim
toy,slingshot,taxonomic_high_sim
footwear,flipper,taxonomic_high_sim
mammal,yak,taxonomic_low_sim
tool,chain,taxonomic_high_sim
vehicle,seaplane,taxonomic_low_sim
dessert,chocolate,taxonomic_low_sim
weapon,dagger,taxonomic_high_sim
food,yogurt,taxonomic_high_sim
food,tortellini,taxonomic_low_sim
food,radish,taxonomic_low_sim
container,canister,taxonomic_high_sim
auto part,steering wheel,taxonomic_low_sim
home decor,hourglass,taxonomic_low_sim
vehicle,garbage truck,taxonomic_high_sim
candy,caramel,taxonomic_high_sim
clothing,corset,taxonomic_low_sim
garden tool,rake,taxonomic_high_sim
tool,ratchet,taxonomic_low_sim
protective clothing,bulletproof vest,taxonomic_high_sim
protective clothing,raincoat,taxonomic_high_sim
food,rhubarb,taxonomic_high_sim
food,raisin,taxonomic_low_sim
container,bottle,taxonomic_high_sim
mammal,chinchilla,taxonomic_high_sim
food,sardine,taxonomic_high_sim
plant,spinach,taxonomic_high_sim
food,muffin,taxonomic_high_sim
kitchen tool,juicer,taxonomic_high_sim
animal,goose,taxonomic_high_sim
animal,ant,taxonomic_high_sim
food,rabbit,taxonomic_high_sim
dessert,cheesecake,taxonomic_high_sim
food,peanut,taxonomic_high_sim
container,coffee pot,taxonomic_low_sim
breakfast,sausage,taxonomic_low_sim
vehicle,wagon,taxonomic_high_sim
plant,tulip,taxonomic_low_sim
tool,spoon,taxonomic_low_sim
dessert,cake,taxonomic_high_sim
clothing,bow,taxonomic_low_sim
candy,taffy,taxonomic_low_sim
tool,trowel,taxonomic_high_sim
container,bucket,taxonomic_high_sim
auto part,exhaust pipe,taxonomic_low_sim
toiletry,deodorant,taxonomic_high_sim
tool,brush,taxonomic_low_sim
medical equipment,tweezers,taxonomic_high_sim
food,potpie,taxonomic_low_sim
food,vegetable,taxonomic_high_sim
mammal,panda,taxonomic_high_sim
tool,scraper,taxonomic_high_sim
food,ravioli,taxonomic_low_sim
toiletry,nail polish,taxonomic_low_sim
food,maple syrup,taxonomic_low_sim
mammal,walrus,taxonomic_low_sim
food,spaghetti,taxonomic_high_sim
candy,candy bar,taxonomic_high_sim
fruit,peach,taxonomic_high_sim
auto part,windshield wiper,taxonomic_high_sim
container,can,taxonomic_high_sim
tool,match,taxonomic_low_sim
vehicle,hovercraft,taxonomic_low_sim
toiletry,curling iron,taxonomic_low_sim
animal,polar bear,taxonomic_low_sim
fastener,bolt,taxonomic_high_sim
food,bok choy,taxonomic_low_sim
weapon,machete,taxonomic_high_sim
dessert,milkshake,taxonomic_low_sim
mammal,tiger,taxonomic_low_sim
tool,pipe,taxonomic_low_sim
sea animal,sea urchin,taxonomic_high_sim
garden tool,watering can,taxonomic_high_sim
condiment,mustard,taxonomic_low_sim
electronic device,food processor,taxonomic_low_sim
food,dumpling,taxonomic_low_sim
school supply,folder,taxonomic_low_sim
auto part,roof rack,taxonomic_high_sim
container,test tube,taxonomic_low_sim
kitchen tool,sifter,taxonomic_high_sim
food,pasta,taxonomic_high_sim
accessory,bowtie,taxonomic_low_sim
food,green beans,taxonomic_low_sim
clothing,boot,taxonomic_low_sim
furniture,mattress,taxonomic_high_sim
fruit,cherry,taxonomic_high_sim
tool,latch,taxonomic_high_sim
protective clothing,lab coat,taxonomic_high_sim
mammal,leopard,taxonomic_high_sim
clothing,snowshoe,taxonomic_high_sim
home decor,wallpaper,taxonomic_high_sim
animal,monkey,taxonomic_high_sim
headwear,hood,taxonomic_high_sim
animal,earwig,taxonomic_low_sim
mammal,rabbit,taxonomic_high_sim
home decor,pillow,taxonomic_low_sim
dessert,creme brulee,taxonomic_low_sim
food,honey,taxonomic_low_sim
food,crepe,taxonomic_high_sim
women's clothing,lingerie,taxonomic_low_sim
tool,sawhorse,taxonomic_low_sim
food,flour,taxonomic_low_sim
sea animal,shrimp,taxonomic_low_sim
food,watermelon,taxonomic_low_sim
clothing,nightshirt,taxonomic_low_sim
home decor,aquarium,taxonomic_low_sim
container,wheelbarrow,taxonomic_high_sim
fastener,strap,taxonomic_low_sim
food,cranberry,taxonomic_low_sim
footwear,stockings,taxonomic_low_sim
dessert,cupcake,taxonomic_high_sim
seafood,clam,taxonomic_high_sim
clothing,loincloth,taxonomic_high_sim
tool,mop,taxonomic_low_sim
food,peppermint,taxonomic_high_sim
food,seafood,taxonomic_high_sim
clothing,hat,taxonomic_low_sim
tool,tweezers,taxonomic_high_sim
clothing,underwear,taxonomic_high_sim
school supply,notebook,taxonomic_low_sim
food,chicken,taxonomic_high_sim
furniture,recliner,taxonomic_high_sim
food,sandwich,taxonomic_low_sim
electronic device,smoke alarm,taxonomic_low_sim
clothing,shoe,taxonomic_low_sim
home decor,album,taxonomic_low_sim
tool,sledgehammer,taxonomic_high_sim
accessory,belt buckle,taxonomic_low_sim
animal,spider,taxonomic_low_sim
vegetable,artichoke,taxonomic_high_sim
container,mug,taxonomic_high_sim
weapon,slingshot,taxonomic_low_sim
fastener,peg,taxonomic_high_sim
musical instrument,french horn,taxonomic_high_sim
musical instrument,saxophone,taxonomic_low_sim
container,wok,taxonomic_low_sim
animal,penguin,taxonomic_low_sim
fastener,clothespin,taxonomic_high_sim
accessory,headband,taxonomic_high_sim
vehicle,rickshaw,taxonomic_low_sim
electronic device,tablet,taxonomic_high_sim
auto part,headrest,taxonomic_high_sim
garden tool,trowel,taxonomic_low_sim
sea animal,clam,taxonomic_high_sim
toiletry,mascara,taxonomic_low_sim
tool,broom,taxonomic_high_sim
container,wine cooler,taxonomic_low_sim
food,hotdog,taxonomic_high_sim
food,grape,taxonomic_low_sim
vegetable,cilantro,taxonomic_low_sim
mammal,orangutan,taxonomic_low_sim
tool,cord,taxonomic_low_sim
clothing,fishnet stockings,taxonomic_low_sim
container,bathtub,taxonomic_low_sim
drink,soda,taxonomic_high_sim
food,cookie,taxonomic_high_sim
food,dessert,taxonomic_high_sim
food,lollipop,taxonomic_low_sim
mammal,antelope,taxonomic_low_sim
food,blueberry,taxonomic_low_sim
toy,dollhouse,taxonomic_high_sim
furniture,highchair,taxonomic_low_sim
animal,gopher,taxonomic_low_sim
toiletry,flatiron,taxonomic_low_sim
tool,flyswatter,taxonomic_low_sim
medical equipment,inhaler,taxonomic_high_sim
container,coffin,taxonomic_low_sim
school supply,lunchbox,taxonomic_low_sim
animal,crow,taxonomic_low_sim
toy,squirt gun,taxonomic_high_sim
food,ice cream,taxonomic_low_sim
electronic device,blower,taxonomic_high_sim
protective clothing,life jacket,taxonomic_high_sim
furniture,rocking chair,taxonomic_low_sim
tool,scoop,taxonomic_low_sim
mammal,hamster,taxonomic_high_sim
food,strawberry,taxonomic_low_sim
animal,goat,taxonomic_high_sim
toy,train set,taxonomic_low_sim
food,toast,taxonomic_low_sim
tool,anvil,taxonomic_high_sim
sea animal,snail,taxonomic_low_sim
office supply,ink,taxonomic_low_sim
clothing,beanie,taxonomic_low_sim
auto part,dashboard,taxonomic_high_sim
medical equipment,walker,taxonomic_low_sim
vehicle,ferry,taxonomic_high_sim
outerwear,fur coat,taxonomic_low_sim
food,guacamole,taxonomic_low_sim
breakfast,croissant,taxonomic_high_sim
dessert,cheese,taxonomic_low_sim
tool,staple gun,taxonomic_low_sim
clothing,panties,taxonomic_high_sim
fastener,staple,taxonomic_high_sim
mammal,mouse,taxonomic_high_sim
sea animal,shark,taxonomic_low_sim
weapon,cleaver,taxonomic_low_sim
mammal,alpaca,taxonomic_low_sim
toiletry,washcloth,taxonomic_high_sim
container,toolbox,taxonomic_high_sim
home decor,poster,taxonomic_high_sim
container,piggy bank,taxonomic_low_sim
insect,mosquito,taxonomic_high_sim
food,carrot,taxonomic_low_sim
animal,sheep,taxonomic_low_sim
electronic device,generator,taxonomic_high_sim
seafood,catfish,taxonomic_high_sim
mammal,meerkat,taxonomic_high_sim
medical equipment,ice pack,taxonomic_low_sim
vehicle,skateboard,taxonomic_low_sim
home decor,coaster,taxonomic_high_sim
clothing,polo shirt,taxonomic_low_sim
mammal,wolf,taxonomic_high_sim
electronic device,webcam,taxonomic_low_sim
dessert,birthday cake,taxonomic_low_sim
electronic device,toaster,taxonomic_high_sim
animal,giraffe,taxonomic_high_sim
medical equipment,bandage,taxonomic_high_sim
tool,wrench,taxonomic_high_sim
vegetable,pea,taxonomic_high_sim
musical instrument,mandolin,taxonomic_low_sim
container,bowl,taxonomic_high_sim
home decor,statue,taxonomic_low_sim
accessory,buckle,taxonomic_low_sim
women's clothing,dress,taxonomic_high_sim
seafood,caviar,taxonomic_low_sim
protective clothing,spacesuit,taxonomic_low_sim
electronic device,hotplate,taxonomic_low_sim
auto part,grille,taxonomic_low_sim
school supply,eraser,taxonomic_low_sim
weapon,sword,taxonomic_high_sim
musical instrument,horn,taxonomic_high_sim
vehicle,snowplow,taxonomic_low_sim
food,tomato,taxonomic_high_sim
tool,dustpan,taxonomic_high_sim
weapon,blowtorch,taxonomic_low_sim
water vehicle,airboat,taxonomic_high_sim
weapon,gun,taxonomic_high_sim
kitchen tool,corkscrew,taxonomic_high_sim
vehicle,bus,taxonomic_high_sim
sea animal,catfish,taxonomic_high_sim
fastener,bow,taxonomic_high_sim
animal,butterfly,taxonomic_low_sim
clothing,overalls,taxonomic_high_sim
game,game,taxonomic_high_sim
vehicle,truck,taxonomic_high_sim
dessert,fruitcake,taxonomic_high_sim
school supply,binder,taxonomic_high_sim
plant,artichoke,taxonomic_high_sim
toy,hula hoop,taxonomic_high_sim
food,macaroni,taxonomic_high_sim
dessert,mousse,taxonomic_high_sim
food,berry,taxonomic_high_sim
headwear,beanie,taxonomic_low_sim
food,gravy,taxonomic_high_sim
vegetable,leek,taxonomic_high_sim
mammal,dalmatian,taxonomic_low_sim
musical instrument,harp,taxonomic_high_sim
animal,octopus,taxonomic_high_sim
plant,cilantro,taxonomic_low_sim
food,pumpkin,taxonomic_high_sim
animal,chick,taxonomic_low_sim
medical equipment,wheelchair,taxonomic_low_sim
clothing,bandana,taxonomic_low_sim
food,cake mix,taxonomic_low_sim
game,jump rope,taxonomic_high_sim
garden tool,hoe,taxonomic_high_sim
accessory,tie,taxonomic_low_sim
drink,tea,taxonomic_low_sim
vegetable,zucchini,taxonomic_high_sim
women's clothing,corset,taxonomic_high_sim
animal,coyote,taxonomic_low_sim
clothing,leotard,taxonomic_high_sim
food,olive,taxonomic_high_sim
clothing,kilt,taxonomic_high_sim
toy,yo-yo,taxonomic_high_sim
weapon,spear,taxonomic_high_sim
tool,hammer,taxonomic_high_sim
food,sweet potato,taxonomic_low_sim
food,arugula,taxonomic_high_sim
tool,nail file,taxonomic_low_sim
tool,blower,taxonomic_low_sim
musical instrument,tambourine,taxonomic_low_sim
mammal,fox,taxonomic_high_sim
food,sausage,taxonomic_low_sim
home decor,terrarium,taxonomic_high_sim
clothing,robe,taxonomic_high_sim
home decor,doorknocker,taxonomic_high_sim
mammal,pony,taxonomic_low_sim
clothing,cummerbund,taxonomic_low_sim
medical equipment,swab,taxonomic_high_sim
office supply,clipboard,taxonomic_low_sim
food,kale,taxonomic_low_sim
auto part,seatbelt,taxonomic_high_sim
livestock,lamb,taxonomic_high_sim
electronic device,cellphone,taxonomic_high_sim
musical instrument,organ,taxonomic_high_sim
electronic device,camera,taxonomic_high_sim
animal,cougar,taxonomic_low_sim
electronic device,stereo,taxonomic_low_sim
kitchen equipment,freezer,taxonomic_low_sim
mammal,manatee,taxonomic_high_sim
tool,ratchet,taxonomic_low_sim
food,prune,taxonomic_low_sim
food,peanut butter,taxonomic_low_sim
fastener,latch,taxonomic_high_sim
food,pepper,taxonomic_high_sim
bird,vulture,taxonomic_low_sim
food,banana split,taxonomic_low_sim
dessert,caramel,taxonomic_low_sim
food,flan,taxonomic_low_sim
jewelry,anklet,taxonomic_low_sim
animal,boar,taxonomic_high_sim
electronic device,screen,taxonomic_high_sim
jewelry,necklace,taxonomic_high_sim
kitchen equipment,icemaker,taxonomic_low_sim
kitchen equipment,mixer,taxonomic_low_sim
toiletry,hairspray,taxonomic_high_sim
mammal,whale,taxonomic_high_sim
musical instrument,bassoon,taxonomic_low_sim
fruit,lemon,taxonomic_low_sim
headwear,bandana,taxonomic_low_sim
breakfast,syrup,taxonomic_low_sim
vehicle,bike,taxonomic_high_sim
food,tortilla,taxonomic_low_sim
tool,can opener,taxonomic_low_sim
weapon,missile,taxonomic_high_sim
food,papaya,taxonomic_high_sim
container,flask,taxonomic_low_sim
food,cashew,taxonomic_high_sim
game,board game,taxonomic_high_sim
animal,eel,taxonomic_high_sim
tool,cleaver,taxonomic_high_sim
footwear,stiletto,taxonomic_low_sim
home decor,birdhouse,taxonomic_low_sim
container,pocket,taxonomic_low_sim
breakfast,hamburger,taxonomic_high_sim
seafood,crab,taxonomic_high_sim
animal,camel,taxonomic_low_sim
food,scone,taxonomic_low_sim
plant,bonsai,taxonomic_low_sim
vehicle,jetski,taxonomic_low_sim
accessory,suspenders,taxonomic_high_sim
clothing,bonnet,taxonomic_low_sim
mammal,elephant,taxonomic_low_sim
weapon,icepick,taxonomic_low_sim
food,tiramisu,taxonomic_low_sim
electronic device,curling iron,taxonomic_low_sim
jewelry,cufflink,taxonomic_high_sim
home decor,lemon,non_taxonomic_low_sim
home decor,latch,non_taxonomic_high_sim
home decor,costume,non_taxonomic_high_sim
home decor,outfit,non_taxonomic_high_sim
home decor,rabbit,non_taxonomic_high_sim
home decor,dashboard,non_taxonomic_high_sim
home decor,coil,non_taxonomic_high_sim
home decor,dustpan,non_taxonomic_high_sim
home decor,banana,non_taxonomic_low_sim
home decor,highlighter,non_taxonomic_high_sim
home decor,bull,non_taxonomic_low_sim
home decor,dress,non_taxonomic_high_sim
home decor,nut,non_taxonomic_low_sim
home decor,puppy,non_taxonomic_low_sim
home decor,bolt,non_taxonomic_high_sim
home decor,green beans,non_taxonomic_low_sim
home decor,lasagna,non_taxonomic_high_sim
home decor,trunk,non_taxonomic_high_sim
home decor,bow,non_taxonomic_high_sim
home decor,string cheese,non_taxonomic_low_sim
home decor,trident,non_taxonomic_low_sim
home decor,robe,non_taxonomic_high_sim
home decor,scallop,non_taxonomic_high_sim
home decor,lamb,non_taxonomic_low_sim
home decor,honey,non_taxonomic_low_sim
home decor,strawberry,non_taxonomic_low_sim
home decor,rooster,non_taxonomic_low_sim
home decor,rifle,non_taxonomic_low_sim
home decor,apple,non_taxonomic_low_sim
home decor,jelly bean,non_taxonomic_low_sim
home decor,sheep,non_taxonomic_low_sim
home decor,stretcher,non_taxonomic_high_sim
home decor,duckling,non_taxonomic_low_sim
home decor,keg,non_taxonomic_low_sim
home decor,tube top,non_taxonomic_high_sim
home decor,calf,non_taxonomic_low_sim
home decor,envelope,non_taxonomic_high_sim
home decor,backscratcher,non_taxonomic_high_sim
home decor,alligator,non_taxonomic_low_sim
home decor,zebra,non_taxonomic_low_sim
home decor,chain,non_taxonomic_high_sim
home decor,elephant,non_taxonomic_low_sim
home decor,whisk,non_taxonomic_high_sim
home decor,rope,non_taxonomic_low_sim
home decor,cantaloupe,non_taxonomic_high_sim
home decor,broom,non_taxonomic_high_sim
insect,margarita,non_taxonomic_low_sim
insect,squirrel,non_taxonomic_high_sim
insect,chair,non_taxonomic_low_sim
insect,worm,non_taxonomic_high_sim
insect,shrimp,non_taxonomic_high_sim
insect,maggot,non_taxonomic_high_sim
insect,maple syrup,non_taxonomic_low_sim
insect,rope,non_taxonomic_low_sim
insect,catfish,non_taxonomic_high_sim
insect,jacket,non_taxonomic_low_sim
insect,creme brulee,non_taxonomic_low_sim
insect,bat,non_taxonomic_high_sim
insect,scoop,non_taxonomic_low_sim
insect,squid,non_taxonomic_high_sim
insect,mole,non_taxonomic_high_sim
insect,toad,non_taxonomic_high_sim
insect,stiletto,non_taxonomic_low_sim
insect,mirror,non_taxonomic_low_sim
fruit,trident,non_taxonomic_low_sim
fruit,elephant,non_taxonomic_low_sim
fruit,duckling,non_taxonomic_low_sim
fruit,jacket,non_taxonomic_low_sim
fruit,margarita,non_taxonomic_low_sim
fruit,rabbit,non_taxonomic_high_sim
fruit,asparagus,non_taxonomic_high_sim
fruit,hook,non_taxonomic_low_sim
fruit,glass,non_taxonomic_low_sim
fruit,okra,non_taxonomic_high_sim
fruit,mirror,non_taxonomic_low_sim
fruit,chickpea,non_taxonomic_high_sim
fruit,lamb,non_taxonomic_low_sim
fruit,rack,non_taxonomic_low_sim
fruit,pecan,non_taxonomic_high_sim
fruit,ski boots,non_taxonomic_low_sim
fruit,zebra,non_taxonomic_low_sim
fruit,squash,non_taxonomic_high_sim
fruit,chair,non_taxonomic_low_sim
fruit,turkey,non_taxonomic_high_sim
fruit,jersey,non_taxonomic_low_sim
fruit,bean,non_taxonomic_high_sim
fruit,fruitcake,non_taxonomic_high_sim
fruit,rope,non_taxonomic_low_sim
fruit,gourd,non_taxonomic_high_sim
fruit,juice,non_taxonomic_high_sim
fruit,almond,non_taxonomic_high_sim
fruit,olive,non_taxonomic_high_sim
fruit,corn,non_taxonomic_high_sim
fruit,bassoon,non_taxonomic_low_sim
fruit,cinnamon,non_taxonomic_high_sim
fruit,clove,non_taxonomic_high_sim
fruit,puppy,non_taxonomic_low_sim
fruit,artichoke,non_taxonomic_high_sim
plant,trident,non_taxonomic_low_sim
plant,zebra,non_taxonomic_low_sim
plant,dustpan,non_taxonomic_high_sim
plant,pumpkin,non_taxonomic_high_sim
plant,hook,non_taxonomic_low_sim
plant,honey,non_taxonomic_low_sim
plant,alligator,non_taxonomic_low_sim
plant,bassoon,non_taxonomic_low_sim
plant,catfish,non_taxonomic_high_sim
plant,stretcher,non_taxonomic_high_sim
plant,mushroom,non_taxonomic_high_sim
plant,crayfish,non_taxonomic_high_sim
plant,jam,non_taxonomic_low_sim
plant,creme brulee,non_taxonomic_low_sim
plant,whipped cream,non_taxonomic_low_sim
plant,rearview mirror,non_taxonomic_low_sim
plant,cream cheese,non_taxonomic_low_sim
plant,rabbit,non_taxonomic_high_sim
plant,pepper,non_taxonomic_high_sim
plant,pot,non_taxonomic_high_sim
plant,maple syrup,non_taxonomic_low_sim
plant,taffy,non_taxonomic_low_sim
plant,chickpea,non_taxonomic_high_sim
plant,mirror,non_taxonomic_low_sim
plant,pea,non_taxonomic_high_sim
plant,squash,non_taxonomic_high_sim
plant,jacket,non_taxonomic_low_sim
plant,dynamite,non_taxonomic_low_sim
plant,zucchini,non_taxonomic_high_sim
plant,bikini,non_taxonomic_low_sim
plant,elephant,non_taxonomic_low_sim
plant,tube top,non_taxonomic_high_sim
plant,mandolin,non_taxonomic_low_sim
plant,margarita,non_taxonomic_low_sim
plant,bull,non_taxonomic_low_sim
plant,toast,non_taxonomic_low_sim
plant,chain,non_taxonomic_high_sim
plant,rope,non_taxonomic_low_sim
plant,sprouts,non_taxonomic_high_sim
plant,highlighter,non_taxonomic_high_sim
plant,scoop,non_taxonomic_low_sim
plant,cantaloupe,non_taxonomic_high_sim
plant,coil,non_taxonomic_high_sim
plant,latch,non_taxonomic_high_sim
plant,okra,non_taxonomic_high_sim
