hyponym,hypernym,prefix,stimulus,hypernymy
macaroni,medical equipment,macaroni is a type of,medical equipment,False
harp,medical equipment,harps are a type of,medical equipment,False
jump rope,medical equipment,jump ropes are a type of,medical equipment,False
tea,medical equipment,tea is a type of,medical equipment,False
leotard,medical equipment,leotards are a type of,medical equipment,False
olive,medical equipment,olives are a type of,medical equipment,False
kilt,medical equipment,kilts are a type of,medical equipment,False
spear,medical equipment,spears are a type of,medical equipment,False
tambourine,medical equipment,tambourines are a type of,medical equipment,False
robe,medical equipment,robes are a type of,medical equipment,False
clipboard,medical equipment,clipboards are a type of,medical equipment,False
seatbelt,medical equipment,seatbelts are a type of,medical equipment,False
cellphone,medical equipment,cellphones are a type of,medical equipment,False
organ,medical equipment,organs are a type of,medical equipment,False
camera,medical equipment,cameras are a type of,medical equipment,False
stereo,medical equipment,stereos are a type of,medical equipment,False
anklet,medical equipment,anklets are a type of,medical equipment,False
screen,medical equipment,screens are a type of,medical equipment,False
necklace,medical equipment,necklaces are a type of,medical equipment,False
hairspray,medical equipment,hairsprays are a type of,medical equipment,False
bassoon,medical equipment,bassoons are a type of,medical equipment,False
bike,medical equipment,bikes are a type of,medical equipment,False
tortilla,medical equipment,tortillas are a type of,medical equipment,False
missile,medical equipment,missiles are a type of,medical equipment,False
flask,medical equipment,flasks are a type of,medical equipment,False
cashew,medical equipment,cashews are a type of,medical equipment,False
board game,medical equipment,board games are a type of,medical equipment,False
birdhouse,medical equipment,birdhouses are a type of,medical equipment,False
pocket,medical equipment,pockets are a type of,medical equipment,False
birdbath,accessory,birdbaths are a type of,accessory,False
fly,accessory,flies are a type of,accessory,False
banana,accessory,bananas are a type of,accessory,False
leek,accessory,leeks are a type of,accessory,False
skunk,accessory,skunks are a type of,accessory,False
razor,accessory,razors are a type of,accessory,False
quesadilla,accessory,quesadillas are a type of,accessory,False
school bus,accessory,school buses are a type of,accessory,False
porcupine,accessory,porcupines are a type of,accessory,False
pear,accessory,pears are a type of,accessory,False
toothpaste,accessory,toothpaste is a type of,accessory,False
scarf,accessory,scarves are a type of,accessory,True
stamp,accessory,stamps are a type of,accessory,False
melon,accessory,melons are a type of,accessory,False
pantsuit,accessory,pantsuits are a type of,accessory,False
blowtorch,accessory,blowtorches are a type of,accessory,False
apron,accessory,aprons are a type of,accessory,False
radio,accessory,radios are a type of,accessory,False
garlic,accessory,a garlic is a type of,accessory,False
sweeper,accessory,sweepers are a type of,accessory,False
mulberry,accessory,mulberries are a type of,accessory,False
paperclip,accessory,paperclips are a type of,accessory,False
candy,accessory,candy is a type of,accessory,False
dart,accessory,darts are a type of,accessory,False
camcorder,accessory,camcorders are a type of,accessory,False
footrest,accessory,footrests are a type of,accessory,False
humvee,accessory,humvees are a type of,accessory,False
bonsai,accessory,bonsai are a type of,accessory,False
fern,accessory,ferns are a type of,accessory,False
boomerang,accessory,boomerangs are a type of,accessory,False
trident,accessory,tridents are a type of,accessory,False
plant,accessory,plants are a type of,accessory,False
scooter,accessory,scooters are a type of,accessory,False
cream cheese,accessory,cream cheese is a type of,accessory,False
highlighter,accessory,highlighters are a type of,accessory,False
tank,accessory,tanks are a type of,accessory,False
sawhorse,accessory,sawhorses are a type of,accessory,False
soy sauce,accessory,soy sauce is a type of,accessory,False
cabinet,accessory,cabinets are a type of,accessory,False
crystal ball,accessory,crystal balls are a type of,accessory,False
hedgehog,accessory,hedgehogs are a type of,accessory,False
licorice,accessory,licorice is a type of,accessory,False
space shuttle,accessory,space shuttles are a type of,accessory,False
stilt,accessory,stilts are a type of,accessory,False
stingray,accessory,stingrays are a type of,accessory,False
mole,accessory,moles are a type of,accessory,False
wine bottle,accessory,wine bottles are a type of,accessory,False
dresser,accessory,dressers are a type of,accessory,False
aquarium,accessory,aquariums are a type of,accessory,False
fish,accessory,fish are a type of,accessory,False
grater,accessory,graters are a type of,accessory,False
flute,accessory,flutes are a type of,accessory,False
cuckoo clock,accessory,cuckoo clocks are a type of,accessory,False
tumbleweed,accessory,tumbleweeds are a type of,accessory,False
bulletproof vest,accessory,bulletproof vests are a type of,accessory,False
pastry,accessory,pastries are a type of,accessory,False
air pump,accessory,air pumps are a type of,accessory,False
bonnet,accessory,bonnets are a type of,accessory,True
mushroom,accessory,mushrooms are a type of,accessory,False
brace,accessory,braces are a type of,accessory,False
crayon,accessory,crayons are a type of,accessory,False
bow,accessory,a bow is a type of,accessory,True
chain,accessory,chains are a type of,accessory,False
chainsaw,accessory,chainsaws are a type of,accessory,False
bamboo,accessory,bamboos are a type of,accessory,False
headscarf,accessory,headscarves are a type of,accessory,False
mango,accessory,mangoes are a type of,accessory,False
butter,accessory,butter is a type of,accessory,False
police car,accessory,police cars are a type of,accessory,False
vial,accessory,vials are a type of,accessory,False
orchid,accessory,orchids are a type of,accessory,False
jalapeno,accessory,jalapenoes are a type of,accessory,False
rhinoceros,accessory,rhinos are a type of,accessory,False
duck,accessory,ducks are a type of,accessory,False
jewelry,accessory,jewelry is a type of,accessory,False
croissant,accessory,croissants are a type of,accessory,False
waffle,accessory,waffles are a type of,accessory,False
coffeemaker,accessory,coffeemakers are a type of,accessory,False
rollerblade,accessory,rollerblades are a type of,accessory,False
shirt,accessory,shirts are a type of,accessory,False
bell pepper,accessory,bell peppers are a type of,accessory,False
pocket watch,accessory,pocket watches are a type of,accessory,False
cow,accessory,cows are a type of,accessory,False
chive,accessory,chives are a type of,accessory,False
knife,accessory,knives are a type of,accessory,False
cornbread,accessory,cornbread is a type of,accessory,False
duffel bag,accessory,duffel bags are a type of,accessory,False
tool,accessory,tools are a type of,accessory,False
plaster cast,accessory,plaster casts are a type of,accessory,False
bottle opener,accessory,bottle openers are a type of,accessory,False
vise,accessory,a vise is a type of,accessory,False
cloak,accessory,cloaks are a type of,accessory,False
velcro,accessory,velcros are a type of,accessory,False
beaver,accessory,beavers are a type of,accessory,False
shelf,accessory,shelves are a type of,accessory,False
curling iron,accessory,curling irons are a type of,accessory,False
headband,accessory,headbands are a type of,accessory,True
cat,accessory,cats are a type of,accessory,False
pen,accessory,pens are a type of,accessory,False
yogurt,accessory,yogurts are a type of,accessory,False
whisk,accessory,whisks are a type of,accessory,False
shrimp,accessory,shrimps are a type of,accessory,False
spark plug,accessory,spark plugs are a type of,accessory,False
koala,accessory,koalas are a type of,accessory,False
maggot,accessory,maggots are a type of,accessory,False
dumpster,accessory,dumpsters are a type of,accessory,False
aloe,accessory,aloe is a type of,accessory,False
clover,accessory,clovers are a type of,accessory,False
backscratcher,accessory,backscratchers are a type of,accessory,False
eggplant,accessory,eggplants are a type of,accessory,False
beer,accessory,beer is a type of,accessory,False
padlock,accessory,padlocks are a type of,accessory,False
basil,accessory,basil is a type of,accessory,False
tupperware,accessory,tupperware is a type of,accessory,False
scrambled egg,accessory,scrambled eggs are a type of,accessory,False
poker,accessory,pokers are a type of,accessory,False
sailboat,accessory,sailboats are a type of,accessory,False
lemonade,accessory,lemonades are a type of,accessory,False
briefcase,accessory,briefcases are a type of,accessory,False
strainer,accessory,strainers are a type of,accessory,False
taxi,accessory,taxis are a type of,accessory,False
spareribs,accessory,spareribs are a type of,accessory,False
hat,accessory,hats are a type of,accessory,True
groundhog,accessory,groundhogs are a type of,accessory,False
handbrake,accessory,handbrakes are a type of,accessory,False
first-aid kit,accessory,first-aid kits are a type of,accessory,False
grass,accessory,grass is a type of,accessory,False
crayfish,accessory,crayfish are a type of,accessory,False
laptop,accessory,laptops are a type of,accessory,False
hot-water bottle,accessory,hot-water bottles are a type of,accessory,False
lampshade,accessory,lampshades are a type of,accessory,False
notepad,accessory,notepads are a type of,accessory,False
clam,accessory,clams are a type of,accessory,False
sunroof,accessory,sunroofs are a type of,accessory,False
bee,accessory,bees are a type of,accessory,False
moccasin,accessory,moccasins are a type of,accessory,False
poinsettia,accessory,poinsettias are a type of,accessory,False
otter,accessory,otters are a type of,accessory,False
whipped cream,accessory,whipped cream is a type of,accessory,False
deer,accessory,deers are a type of,accessory,False
kneepad,accessory,kneepads are a type of,accessory,False
tuba,accessory,tubas are a type of,accessory,False
onion,accessory,onions are a type of,accessory,False
plum,accessory,plums are a type of,accessory,False
cereal,accessory,cereals are a type of,accessory,False
throne,accessory,thrones are a type of,accessory,False
freezer,accessory,freezers are a type of,accessory,False
gingerbread man,accessory,gingerbread men are a type of,accessory,False
marker,accessory,markers are a type of,accessory,False
kimono,accessory,kimonos are a type of,accessory,False
maple syrup,accessory,maple syrup is a type of,accessory,False
sauce,accessory,sauces are a type of,accessory,False
celery,accessory,celeries are a type of,accessory,False
ukulele,accessory,ukuleles are a type of,accessory,False
gyroscope,accessory,gyroscopes are a type of,accessory,False
frame,accessory,frames are a type of,accessory,False
purse,accessory,purses are a type of,accessory,True
marmalade,accessory,marmalade is a type of,accessory,False
lime,accessory,limes are a type of,accessory,False
jeep,accessory,jeeps are a type of,accessory,False
spam,accessory,spam is a type of,accessory,False
funnel,accessory,funnels are a type of,accessory,False
basket,accessory,baskets are a type of,accessory,False
clasp,accessory,clasps are a type of,accessory,False
jetski,accessory,jetskis are a type of,accessory,False
icemaker,accessory,icemakers are a type of,accessory,False
fan,accessory,fans are a type of,accessory,False
mixer,accessory,mixers are a type of,accessory,False
flamingo,accessory,flamingoes are a type of,accessory,False
ladder,accessory,ladders are a type of,accessory,False
asparagus,accessory,asparagus is a type of,accessory,False
grenade,accessory,grenades are a type of,accessory,False
shovel,accessory,shovels are a type of,accessory,False
wire,accessory,wires are a type of,accessory,False
cart,accessory,carts are a type of,accessory,False
scrabble,accessory,scrabble is a type of,accessory,False
measuring cup,accessory,measuring cups are a type of,accessory,False
bed,accessory,beds are a type of,accessory,False
glove,accessory,gloves are a type of,accessory,True
punch,accessory,fruit punches are a type of,accessory,False
noodle,accessory,noodles are a type of,accessory,False
bolt,accessory,bolts are a type of,accessory,False
piglet,accessory,piglets are a type of,accessory,False
blowfish,accessory,blowfish are a type of,accessory,False
tape,accessory,tapes are a type of,accessory,False
faucet,accessory,faucets are a type of,accessory,False
gum,accessory,gums are a type of,accessory,False
calf,accessory,calves are a type of,accessory,False
platypus,accessory,platypuses are a type of,accessory,False
sloth,accessory,sloths are a type of,accessory,False
life jacket,accessory,life jackets are a type of,accessory,False
food processor,accessory,food processors are a type of,accessory,False
vulture,accessory,vultures are a type of,accessory,False
french fries,accessory,french fries are a type of,accessory,False
ant,accessory,ants are a type of,accessory,False
wind chimes,accessory,wind chimes are a type of,accessory,False
anteater,accessory,anteaters are a type of,accessory,False
record player,accessory,record players are a type of,accessory,False
tarantula,accessory,tarantulas are a type of,accessory,False
calamari,accessory,calamari is a type of,accessory,False
terrarium,accessory,terrariums are a type of,accessory,False
vase,accessory,vases are a type of,accessory,False
bat,accessory,bats are a type of,accessory,False
toaster oven,accessory,toaster ovens are a type of,accessory,False
dough,accessory,dough is a type of,accessory,False
abacus,accessory,abacuses are a type of,accessory,False
jellyfish,accessory,jellyfish are a type of,accessory,False
wafer,accessory,wafers are a type of,accessory,False
water filter,accessory,water filters are a type of,accessory,False
puppy,accessory,puppies are a type of,accessory,False
parrot,accessory,parrots are a type of,accessory,False
wheel,accessory,wheels are a type of,accessory,False
hamburger,accessory,hamburgers are a type of,accessory,False
drawer,accessory,drawers are a type of,accessory,False
salad,accessory,salads are a type of,accessory,False
scallion,accessory,scallions are a type of,accessory,False
catfish,accessory,catfish are a type of,accessory,False
bacon,accessory,bacon is a type of,accessory,False
aardvark,accessory,aardvarks are a type of,accessory,False
bolo tie,accessory,bolo ties are a type of,accessory,True
water heater,accessory,water heaters are a type of,accessory,False
piecrust,accessory,piecrusts are a type of,accessory,False
crank,accessory,cranks are a type of,accessory,False
ram,accessory,rams are a type of,accessory,False
roll,accessory,rolls are a type of,accessory,False
bear,accessory,bears are a type of,accessory,False
cot,accessory,cots are a type of,accessory,False
hippopotamus,accessory,hippos are a type of,accessory,False
poodle,accessory,poodles are a type of,accessory,False
ladle,accessory,ladles are a type of,accessory,False
chickpea,accessory,chickpeas are a type of,accessory,False
birdcage,accessory,birdcages are a type of,accessory,False
christmas tree,accessory,christmas trees are a type of,accessory,False
shaker,accessory,shakers are a type of,accessory,False
sarcophagus,accessory,sarcophagi are a type of,accessory,False
boot,accessory,boots are a type of,accessory,False
donkey,accessory,donkeys are a type of,accessory,False
juicer,accessory,juicers are a type of,accessory,False
cotton candy,accessory,cotton candy is a type of,accessory,False
peppermint,accessory,peppermints are a type of,accessory,False
folder,accessory,folders are a type of,accessory,False
slot machine,accessory,slot machines are a type of,accessory,False
hubcap,accessory,hubcaps are a type of,accessory,False
gazelle,accessory,gazelles are a type of,accessory,False
crown,accessory,crowns are a type of,accessory,False
spacesuit,accessory,spacesuits are a type of,accessory,False
dolphin,accessory,dolphins are a type of,accessory,False
cleaver,accessory,cleavers are a type of,accessory,False
octopus,accessory,an octopus is a type of,accessory,False
wedding cake,accessory,wedding cakes are a type of,accessory,False
toast,accessory,toast is a type of,accessory,False
zebra,accessory,zebras are a type of,accessory,False
ginger,accessory,ginger is a type of,accessory,False
souffle,accessory,souffles are a type of,accessory,False
doily,accessory,doilies are a type of,accessory,False
lizard,accessory,lizards are a type of,accessory,False
broccoli,accessory,broccoli is a type of,accessory,False
pinball,accessory,pinballs are a type of,accessory,False
barrette,accessory,barrettes are a type of,accessory,False
rat,accessory,rats are a type of,accessory,False
shoe,accessory,shoes are a type of,accessory,False
star fruit,accessory,star fruits are a type of,accessory,False
washing machine,accessory,washing machines are a type of,accessory,False
earwig,accessory,earwigs are a type of,accessory,False
dynamite,accessory,dynamites are a type of,accessory,False
lego,accessory,legos are a type of,accessory,False
parsley,accessory,parsley is a type of,accessory,False
notebook,accessory,notebooks are a type of,accessory,False
lollipop,accessory,lollipops are a type of,accessory,False
goblet,accessory,goblets are a type of,accessory,False
brownie,accessory,brownies are a type of,accessory,False
doorknocker,accessory,doorknockers are a type of,accessory,False
pitcher,accessory,pitchers are a type of,accessory,False
gasket,accessory,gaskets are a type of,accessory,False
blackberry,accessory,blackberries are a type of,accessory,False
tape recorder,accessory,tape recorders are a type of,accessory,False
chihuahua,accessory,chihuahuas are a type of,accessory,False
locker,accessory,lockers are a type of,accessory,False
file,accessory,files are a type of,accessory,False
rocket,accessory,rockets are a type of,accessory,False
globe,accessory,globes are a type of,accessory,False
badger,accessory,badgers are a type of,accessory,False
hot chocolate,accessory,hot chocolate is a type of,accessory,False
bulldozer,accessory,bulldozers are a type of,accessory,False
fountain pen,accessory,fountain pens are a type of,accessory,False
candy cane,accessory,candy canes are a type of,accessory,False
lamb,accessory,lambs are a type of,accessory,False
parfait,accessory,parfaits are a type of,accessory,False
burner,accessory,burners are a type of,accessory,False
oatmeal,accessory,oatmeal is a type of,accessory,False
coconut,accessory,coconuts are a type of,accessory,False
swordfish,accessory,swordfish are a type of,accessory,False
mustard,accessory,mustard is a type of,accessory,False
suitcase,accessory,suitcases are a type of,accessory,False
reindeer,accessory,reindeers are a type of,accessory,False
mitten,accessory,mittens are a type of,accessory,True
watering can,accessory,watering cans are a type of,accessory,False
turtle,accessory,turtles are a type of,accessory,False
apple tree,accessory,apple trees are a type of,accessory,False
mint,accessory,mint is a type of,accessory,False
sorbet,accessory,sorbets are a type of,accessory,False
locket,accessory,lockets are a type of,accessory,False
watch,accessory,watches are a type of,accessory,True
rack,accessory,racks are a type of,accessory,False
almond,accessory,almonds are a type of,accessory,False
duckling,accessory,ducklings are a type of,accessory,False
cabbage,accessory,cabbages are a type of,accessory,False
tongs,accessory,tongs are a type of,accessory,False
popsicle,accessory,popsicles are a type of,accessory,False
crab,accessory,crabs are a type of,accessory,False
chessboard,accessory,chessboards are a type of,accessory,False
lock,accessory,locks are a type of,accessory,False
egg,accessory,eggs are a type of,accessory,False
eel,accessory,eels are a type of,accessory,False
hotplate,accessory,hotplates are a type of,accessory,False
cockroach,accessory,cockroaches are a type of,accessory,False
nail clippers,accessory,nail clippers are a type of,accessory,False
bison,accessory,bisons are a type of,accessory,False
doorhandle,accessory,doorhandles are a type of,accessory,False
incubator,accessory,incubators are a type of,accessory,False
hose,accessory,hoses are a type of,accessory,False
urn,accessory,urns are a type of,accessory,False
wreath,accessory,wreaths are a type of,accessory,False
mallet,accessory,mallets are a type of,accessory,False
switch,accessory,switches are a type of,accessory,False
revolver,accessory,revolvers are a type of,accessory,False
curtain,accessory,curtains are a type of,accessory,False
ice-cream cone,accessory,ice-cream cones are a type of,accessory,False
tape measure,accessory,tape measures are a type of,accessory,False
camper,accessory,campers are a type of,accessory,False
tree,accessory,trees are a type of,accessory,False
weasel,accessory,weasels are a type of,accessory,False
warthog,accessory,warthogs are a type of,accessory,False
bin,accessory,bins are a type of,accessory,False
music box,accessory,music boxes are a type of,accessory,False
peeler,accessory,peelers are a type of,accessory,False
grinder,accessory,grinders are a type of,accessory,False
scissors,accessory,scissors are a type of,accessory,False
squirrel,accessory,squirrels are a type of,accessory,False
shopping basket,accessory,shopping baskets are a type of,accessory,False
shawl,accessory,shawls are a type of,accessory,True
headlight,accessory,headlights are a type of,accessory,False
airboat,accessory,airboats are a type of,accessory,False
step stool,accessory,step stools are a type of,accessory,False
glasses,accessory,glasses are a type of,accessory,True
cupcake,accessory,cupcakes are a type of,accessory,False
goose,accessory,geese are a type of,accessory,False
knob,accessory,knobs are a type of,accessory,False
cantaloupe,accessory,cantaloupes are a type of,accessory,False
tiara,accessory,tiaras are a type of,accessory,False
squash,accessory,squash is a type of,accessory,False
grasshopper,accessory,grasshoppers are a type of,accessory,False
pomegranate,accessory,pomegranates are a type of,accessory,False
raccoon,accessory,raccoons are a type of,accessory,False
candle,accessory,candles are a type of,accessory,False
car door,accessory,car doors are a type of,accessory,False
lawnmower,accessory,lawnmowers are a type of,accessory,False
eraser,accessory,erasers are a type of,accessory,False
mongoose,accessory,mongooses are a type of,accessory,False
water bottle,accessory,water bottles are a type of,accessory,False
horse,accessory,horses are a type of,accessory,False
peanut butter,accessory,peanut butter is a type of,accessory,False
cup,accessory,cups are a type of,accessory,False
sprouts,accessory,sprouts are a type of,accessory,False
hairbrush,accessory,a hairbrush is a type of,accessory,False
wasp,accessory,wasps are a type of,accessory,False
barrel,accessory,barrels are a type of,accessory,False
sandal,accessory,sandals are a type of,accessory,False
polisher,accessory,polishers are a type of,accessory,False
binder,accessory,binders are a type of,accessory,False
slipper,accessory,slippers are a type of,accessory,False
eggbeater,accessory,eggbeaters are a type of,accessory,False
crowbar,accessory,crowbars are a type of,accessory,False
grapefruit,accessory,grapefruits are a type of,accessory,False
barnacle,accessory,barnacles are a type of,accessory,False
icepick,accessory,icepicks are a type of,accessory,False
helmet,accessory,helmets are a type of,accessory,False
torpedo,accessory,torpedoes are a type of,accessory,False
microphone,accessory,microphones are a type of,accessory,False
glue,accessory,glue is a type of,accessory,False
dryer,accessory,dryers are a type of,accessory,False
mashed potato,accessory,mashed potatoes are a type of,accessory,False
lunchbox,accessory,lunchboxes are a type of,accessory,False
chisel,accessory,chisels are a type of,accessory,False
lasagna,accessory,lasagna is a type of,accessory,False
rose,accessory,roses are a type of,accessory,False
fruit,accessory,fruits are a type of,accessory,False
clipper,accessory,clippers are a type of,accessory,False
squid,accessory,squids are a type of,accessory,False
cooker,accessory,cookers are a type of,accessory,False
potato,accessory,potatoes are a type of,accessory,False
scone,accessory,scones are a type of,accessory,False
bracelet,accessory,bracelets are a type of,accessory,True
balloon,accessory,balloons are a type of,accessory,False
baklava,accessory,baklavas are a type of,accessory,False
hearse,accessory,hearses are a type of,accessory,False
jar,accessory,jars are a type of,accessory,False
hinge,accessory,hinges are a type of,accessory,False
pineapple,accessory,pineapples are a type of,accessory,False
yo-yo,accessory,yo-yos are a type of,accessory,False
cardinal,accessory,cardinals are a type of,accessory,False
soldering iron,accessory,soldering irons are a type of,accessory,False
eclair,accessory,eclairs are a type of,accessory,False
jukebox,accessory,jukeboxes are a type of,accessory,False
kettle,accessory,kettles are a type of,accessory,False
chipmunk,accessory,chipmunks are a type of,accessory,False
muffin,accessory,muffins are a type of,accessory,False
gorilla,accessory,gorillas are a type of,accessory,False
valve,accessory,valves are a type of,accessory,False
jam,accessory,jams are a type of,accessory,False
breadstick,accessory,breadsticks are a type of,accessory,False
fishbowl,accessory,fishbowls are a type of,accessory,False
biscuit,accessory,biscuits are a type of,accessory,False
button,accessory,buttons are a type of,accessory,True
chariot,accessory,chariots are a type of,accessory,False
spring roll,accessory,spring rolls are a type of,accessory,False
hedge,accessory,hedges are a type of,accessory,False
lion,accessory,lions are a type of,accessory,False
puffin,accessory,puffins are a type of,accessory,False
pencil,accessory,pencils are a type of,accessory,False
worm,accessory,worms are a type of,accessory,False
envelope,accessory,envelopes are a type of,accessory,False
bush,accessory,bushes are a type of,accessory,False
chest,accessory,chests are a type of,accessory,False
ivy,accessory,ivy is a type of,accessory,False
kangaroo,accessory,kangaroos are a type of,accessory,False
coat rack,accessory,coat racks are a type of,accessory,False
robot,accessory,robots are a type of,accessory,False
printer,accessory,printers are a type of,accessory,False
guinea pig,accessory,guinea pigs are a type of,accessory,False
oyster,accessory,oysters are a type of,accessory,False
brooch,accessory,brooches are a type of,accessory,True
coverall,accessory,coveralls are a type of,accessory,False
raspberry,accessory,raspberries are a type of,accessory,False
airplane,accessory,airplanes are a type of,accessory,False
lightbulb,accessory,lightbulbs are a type of,accessory,False
corkscrew,accessory,corkscrews are a type of,accessory,False
blender,accessory,blenders are a type of,accessory,False
polar bear,accessory,polar bears are a type of,accessory,False
drum,accessory,drums are a type of,accessory,False
bull,accessory,bulls are a type of,accessory,False
crate,accessory,crates are a type of,accessory,False
casserole,accessory,casseroles are a type of,accessory,False
hoe,accessory,hoes are a type of,accessory,False
speedboat,accessory,speedboats are a type of,accessory,False
ready meal,accessory,ready meals are a type of,accessory,False
piano,accessory,pianos are a type of,accessory,False
refrigerator,accessory,refrigerators are a type of,accessory,False
hummingbird,accessory,hummingbirds are a type of,accessory,False
electric chair,accessory,electric chairs are a type of,accessory,False
clothes,accessory,clothes are a type of,accessory,False
pocketknife,accessory,pocketknives are a type of,accessory,False
jacket,accessory,jackets are a type of,accessory,False
lobster,accessory,lobsters are a type of,accessory,False
lettuce,accessory,a lettuce is a type of,accessory,False
cobra,accessory,cobras are a type of,accessory,False
mailbox,accessory,mailboxes are a type of,accessory,False
cauliflower,accessory,cauliflowers are a type of,accessory,False
shredder,accessory,shredders are a type of,accessory,False
scallop,accessory,scallops are a type of,accessory,False
train,accessory,trains are a type of,accessory,False
eye patch,accessory,eye patches are a type of,accessory,True
pigeon,accessory,pigeons are a type of,accessory,False
pelican,accessory,pelicans are a type of,accessory,False
monkey,accessory,monkeys are a type of,accessory,False
pitchfork,accessory,pitchforks are a type of,accessory,False
pig,accessory,pigs are a type of,accessory,False
table,accessory,tables are a type of,accessory,False
gondola,accessory,gondolas are a type of,accessory,False
crepe,accessory,crepes are a type of,accessory,False
flower,accessory,flowers are a type of,accessory,False
chair,accessory,chairs are a type of,accessory,False
spatula,accessory,spatulas are a type of,accessory,False
brussels sprouts,accessory,brussels sprouts are a type of,accessory,False
spinach,accessory,spinach is a type of,accessory,False
subway,accessory,subways are a type of,accessory,False
paper bag,accessory,paper bags are a type of,accessory,False
toothbrush,accessory,toothbrushes are a type of,accessory,False
hummus,accessory,hummus is a type of,accessory,False
figurine,accessory,figurines are a type of,accessory,False
weed,accessory,weeds are a type of,accessory,False
paper,accessory,paper is a type of,accessory,False
snack,accessory,snacks are a type of,accessory,False
baseball bat,accessory,baseball bats are a type of,accessory,False
calzone,accessory,calzones are a type of,accessory,False
ferret,accessory,ferrets are a type of,accessory,False
nightstand,accessory,nightstands are a type of,accessory,False
wheelchair,accessory,wheelchairs are a type of,accessory,False
margarita,accessory,margaritas are a type of,accessory,False
patty,accessory,patties are a type of,accessory,False
okra,accessory,okra is a type of,accessory,False
paintbrush,accessory,paintbrushes are a type of,accessory,False
plunger,accessory,plungers are a type of,accessory,False
rearview mirror,accessory,rearview mirrors are a type of,accessory,False
corn,accessory,corn is a type of,accessory,False
hyena,accessory,hyenas are a type of,accessory,False
seal,accessory,seals are a type of,accessory,False
sewing machine,accessory,sewing machines are a type of,accessory,False
fig,accessory,figs are a type of,accessory,False
cookie,accessory,cookies are a type of,accessory,False
dessert,accessory,desserts are a type of,accessory,False
ketchup,accessory,ketchup is a type of,accessory,False
meat,accessory,meat is a type of,accessory,False
cockatoo,accessory,cockatoos are a type of,accessory,False
top hat,accessory,top hats are a type of,accessory,True
gopher,accessory,gophers are a type of,accessory,False
dog,accessory,dogs are a type of,accessory,False
cape,accessory,capes are a type of,accessory,False
belt,accessory,belts are a type of,accessory,True
taillight,accessory,taillights are a type of,accessory,False
orange,accessory,oranges are a type of,accessory,False
blowgun,accessory,blowguns are a type of,accessory,False
remote control,accessory,remote controls are a type of,accessory,False
pencil sharpener,accessory,pencil sharpeners are a type of,accessory,False
possum,accessory,possums are a type of,accessory,False
accordion,accessory,accordions are a type of,accessory,False
beachball,accessory,beachballs are a type of,accessory,False
rooster,accessory,roosters are a type of,accessory,False
goat,accessory,goats are a type of,accessory,False
skirt,accessory,skirts are a type of,accessory,False
gumball,accessory,gumballs are a type of,accessory,False
thumbtack,accessory,thumbtacks are a type of,accessory,False
avocado,accessory,avocados are a type of,accessory,False
clove,accessory,cloves are a type of,accessory,False
seaweed,accessory,seaweeds are a type of,accessory,False
taffy,accessory,taffy is a type of,accessory,False
turkey,accessory,turkeys are a type of,accessory,False
stew,accessory,stew is a type of,accessory,False
frog,accessory,frogs are a type of,accessory,False
raft,accessory,rafts are a type of,accessory,False
filing cabinet,accessory,filing cabinets are a type of,accessory,False
stroller,accessory,strollers are a type of,accessory,False
palm tree,accessory,palm trees are a type of,accessory,False
apple,accessory,apples are a type of,accessory,False
pepper mill,accessory,pepper mills are a type of,accessory,False
ladybug,accessory,ladybugs are a type of,accessory,False
kayak,accessory,kayaks are a type of,accessory,False
fur coat,accessory,fur coats are a type of,accessory,False
kebab,accessory,kebabs are a type of,accessory,False
honeypot,accessory,honeypots are a type of,accessory,False
tamale,accessory,tamales are a type of,accessory,False
rollerskate,accessory,rollerskates are a type of,accessory,False
sauerkraut,accessory,sauerkraut is a type of,accessory,False
sheep,accessory,sheeps are a type of,accessory,False
beetle,accessory,beetles are a type of,accessory,False
goldfish,accessory,goldfish are a type of,accessory,False
seagull,accessory,seagulls are a type of,accessory,False
coil,accessory,coils are a type of,accessory,False
sundae,accessory,sundaes are a type of,accessory,False
enchilada,accessory,enchiladas are a type of,accessory,False
checkers,accessory,checkers are a type of,accessory,False
cannon,accessory,cannons are a type of,accessory,False
quill,accessory,quills are a type of,accessory,False
giraffe,accessory,giraffes are a type of,accessory,False
sock,accessory,socks are a type of,accessory,False
microwave,accessory,microwaves are a type of,accessory,False
pedal,accessory,pedals are a type of,accessory,False
llama,accessory,llamas are a type of,accessory,False
mold,accessory,molds are a type of,accessory,False
polygraph,accessory,polygraphs are a type of,accessory,False
beet,accessory,beets are a type of,accessory,False
raisin,accessory,raisins are a type of,accessory,False
string cheese,accessory,string cheese is a type of,accessory,False
submarine,accessory,submarines are a type of,accessory,False
ball,accessory,balls are a type of,accessory,False
stockings,accessory,stockings are a type of,accessory,False
timer,accessory,timers are a type of,accessory,False
flamethrower,accessory,flamethrowers are a type of,accessory,False
air mattress,accessory,air mattresses are a type of,accessory,False
kiwi,accessory,kiwis are a type of,accessory,False
jackhammer,accessory,jackhammers are a type of,accessory,False
cannonball,accessory,cannonballs are a type of,accessory,False
ambulance,accessory,ambulances are a type of,accessory,False
trumpet,accessory,trumpets are a type of,accessory,False
breakfast,accessory,breakfasts are a type of,accessory,False
batter,accessory,batters are a type of,accessory,False
penlight,accessory,penlights are a type of,accessory,False
