conclusion_,premise_,conclusion,premise,is_hyper,sim,prompt,label,position,score
puppet,toy,puppets,toys,yes,high,"Answer the question. Given that toys are daxable, is it true that puppets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8380577564239502
pheasant,food,pheasants,food,no,high,"Answer the question. Given that food is daxable, is it true that pheasants are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.3465547561645508
stuffing,vehicle,stuffing,vehicles,no,low,"Answer the question. Given that vehicles are daxable, is it true that stuffing is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.11040206253528595
rim,tool,rims,tools,no,high,"Answer the question. Given that tools are daxable, is it true that rims are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.6885531544685364
wine cooler,container,wine coolers,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that wine coolers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.27712634205818176
roll,clothing,rolls,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that rolls are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.1611103117465973
cordon bleu,outerwear,cordon bleu sandwiches,outerwear,no,low,"Answer the question. Given that outerwear is daxable, is it true that cordon bleu sandwiches are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((7, 8), (18, 24))",0.13415205478668213
thermometer,food,thermometers,food,no,low,"Answer the question. Given that food is daxable, is it true that thermometers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.1359165608882904
candle,home decor,candles,home decor,yes,high,"Answer the question. Given that home decor is daxable, is it true that candles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.5293405652046204
wire cutters,weapon,wire cutters,weapons,no,high,"Answer the question. Given that weapons are daxable, is it true that wire cutters are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.7297524809837341
coconut,fruit,coconuts,fruits,yes,high,"Answer the question. Given that fruits are daxable, is it true that coconuts are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8122150897979736
penguin,electronic device,penguins,electronic devices,no,low,"Answer the question. Given that electronic devices are daxable, is it true that penguins are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.11963522434234619
birthday cake,food,birthday cakes,food,yes,high,"Answer the question. Given that food is daxable, is it true that birthday cakes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6969444751739502
keyboard,electronic device,keyboards,electronic devices,no,high,"Answer the question. Given that electronic devices are daxable, is it true that keyboards are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.661091685295105
cart,food,carts,food,no,low,"Answer the question. Given that food is daxable, is it true that carts are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.15764331817626953
vacuum,tool,vacuum cleaners,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that vacuum cleaners are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7052224278450012
meat,animal,meat,animals,no,high,"Answer the question. Given that animals are daxable, is it true that meat is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.46482378244400024
buffet,food,buffets,food,yes,high,"Answer the question. Given that food is daxable, is it true that buffets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7915907502174377
biscuit,container,biscuits,containers,no,low,"Answer the question. Given that containers are daxable, is it true that biscuits are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.11195182800292969
mandolin,food,mandolins,food,no,low,"Answer the question. Given that food is daxable, is it true that mandolins are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.1355878859758377
golf cart,auto part,golf carts,auto parts,no,high,"Answer the question. Given that auto parts are daxable, is it true that golf carts are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.7980794310569763
mailbox,container,mailboxes,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that mailboxes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.652694582939148
lamp,electronic device,lamps,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that lamps are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.5971947312355042
almond,food,almonds,food,yes,high,"Answer the question. Given that food is daxable, is it true that almonds are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7830880880355835
television,bird,televisions,birds,no,low,"Answer the question. Given that birds are daxable, is it true that televisions are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.0873611718416214
mustard,clothing,mustard,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that mustard is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1564205437898636
badger,animal,badgers,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that badgers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8743278980255127
shaving cream,toiletry,shaving cream,toiletries,yes,high,"Answer the question. Given that toiletries are daxable, is it true that shaving cream is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.6654163599014282
scoop,kitchen tool,scoops,kitchen tools,yes,high,"Answer the question. Given that kitchen tools are daxable, is it true that scoops are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.8355182409286499
soy sauce,food,soy sauce,food,yes,high,"Answer the question. Given that food is daxable, is it true that soy sauce is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6247766613960266
melon,clothing,melons,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that melons are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.16037151217460632
velcro,food,velcros,food,no,low,"Answer the question. Given that food is daxable, is it true that velcros are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.14054691791534424
computer screen,electronic device,computer screens,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that computer screens are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7129283547401428
flower,plant,flowers,plants,yes,high,"Answer the question. Given that plants are daxable, is it true that flowers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.8905830383300781
rabbit,food,rabbits,food,yes,low,"Answer the question. Given that food is daxable, is it true that rabbits are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.3049001395702362
taffy,food,taffy,food,yes,high,"Answer the question. Given that food is daxable, is it true that taffy is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.6503947377204895
rolling pin,kitchen tool,rolling pins,kitchen tools,yes,low,"Answer the question. Given that kitchen tools are daxable, is it true that rolling pins are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7151714563369751
workbench,breakfast,workbenches,breakfasts,no,low,"Answer the question. Given that breakfasts are daxable, is it true that workbenches are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.11006084829568863
toaster,food,toasters,food,no,high,"Answer the question. Given that food is daxable, is it true that toasters are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.34233877062797546
tostada,toy,tostadas,toys,no,low,"Answer the question. Given that toys are daxable, is it true that tostadas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.13620640337467194
hamster,food,hamsters,food,no,high,"Answer the question. Given that food is daxable, is it true that hamsters are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.35975226759910583
watch,jewelry,watches,jewelry,yes,low,"Answer the question. Given that jewelry is daxable, is it true that watches are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7187039852142334
jam,food,jams,food,yes,high,"Answer the question. Given that food is daxable, is it true that jams are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7840519547462463
board game,toy,board games,toys,no,high,"Answer the question. Given that toys are daxable, is it true that board games are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8277738094329834
life jacket,food,life jackets,food,no,low,"Answer the question. Given that food is daxable, is it true that life jackets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.15406420826911926
exhaust pipe,auto part,exhaust pipes,auto parts,yes,high,"Answer the question. Given that auto parts are daxable, is it true that exhaust pipes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.7079782485961914
warthog,mammal,warthogs,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that warthogs are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.9306977987289429
quesadilla,auto part,quesadillas,auto parts,no,low,"Answer the question. Given that auto parts are daxable, is it true that quesadillas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.09488273411989212
oyster,clothing,oysters,clothing,no,low,"Answer the question. Given that clothing is daxable, is it true that oysters are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.15257495641708374
sundae,food,sundaes,food,yes,high,"Answer the question. Given that food is daxable, is it true that sundaes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.7154037952423096
nightstand,furniture,nightstands,furniture,yes,high,"Answer the question. Given that furniture is daxable, is it true that nightstands are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8117589950561523
sweatsuit,protective clothing,sweatsuits,protective clothing,no,high,"Answer the question. Given that protective clothing is daxable, is it true that sweatsuits are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.7925307750701904
engine,auto part,engines,auto parts,yes,high,"Answer the question. Given that auto parts are daxable, is it true that engines are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 14), (24, 24))",0.7891154289245605
strap,breakfast,straps,breakfasts,no,low,"Answer the question. Given that breakfasts are daxable, is it true that straps are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.10857529938220978
cookie,food,cookies,food,yes,high,"Answer the question. Given that food is daxable, is it true that cookies are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7887654304504395
jeep,vehicle,jeeps,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that jeeps are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8937604427337646
throne,food,thrones,food,no,low,"Answer the question. Given that food is daxable, is it true that thrones are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.13457052409648895
backscratcher,tool,backscratchers,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that backscratchers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.7524374723434448
lettuce,office supply,lettuce,office supplies,no,low,"Answer the question. Given that office supplies are daxable, is it true that a lettuce is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (23, 24))",0.1056671142578125
grass,animal,grass,animals,no,high,"Answer the question. Given that animals are daxable, is it true that grass is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.523835301399231
veil,clothing,veils,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that veils are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8260438442230225
incubator,electronic device,incubators,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that incubators are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.4323270618915558
marker,game,markers,games,no,high,"Answer the question. Given that games are daxable, is it true that markers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.868545651435852
butter,food,butter,food,yes,high,"Answer the question. Given that food is daxable, is it true that butter is daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((14, 14), (24, 24))",0.7739768028259277
windshield,container,windshields,containers,no,high,"Answer the question. Given that containers are daxable, is it true that windshields are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.7093904614448547
cane,tool,canes,tools,no,high,"Answer the question. Given that tools are daxable, is it true that canes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.7099937200546265
cranberry,fruit,cranberries,fruits,yes,high,"Answer the question. Given that fruits are daxable, is it true that cranberries are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8857080936431885
guacamole,toy,guacamole,toys,no,low,"Answer the question. Given that toys are daxable, is it true that guacamole is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.1341119259595871
cantaloupe,vegetable,cantaloupes,vegetables,no,high,"Answer the question. Given that vegetables are daxable, is it true that cantaloupes are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 11), (21, 24))",0.8658026456832886
jeans,protective clothing,jeans,protective clothing,no,high,"Answer the question. Given that protective clothing is daxable, is it true that jeans are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 14), (24, 24))",0.7893537282943726
dumpling,breakfast,dumplings,breakfasts,no,high,"Answer the question. Given that breakfasts are daxable, is it true that dumplings are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.8758622407913208
skateboard,toy,skateboards,toys,yes,low,"Answer the question. Given that toys are daxable, is it true that skateboards are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.4402480125427246
squirrel,home decor,squirrels,home decor,no,low,"Answer the question. Given that home decor is daxable, is it true that squirrels are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.19773335754871368
gyro,seafood,gyros,seafood,no,high,"Answer the question. Given that seafood is daxable, is it true that gyros are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8599050045013428
car seat,furniture,car seats,furniture,no,high,"Answer the question. Given that furniture is daxable, is it true that car seats are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.6674432754516602
pelican,mammal,pelicans,mammals,no,high,"Answer the question. Given that mammals are daxable, is it true that pelicans are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.887364387512207
tiara,jewelry,tiaras,jewelry,yes,high,"Answer the question. Given that jewelry is daxable, is it true that tiaras are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.9415750503540039
sweater,food,sweaters,food,no,low,"Answer the question. Given that food is daxable, is it true that sweaters are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.1416167914867401
bison,animal,bisons,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that bisons are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8714444041252136
cymbal,electronic device,cymbals,electronic devices,no,high,"Answer the question. Given that electronic devices are daxable, is it true that cymbals are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 11), (21, 24))",0.640531063079834
bin,plant,bins,plants,no,low,"Answer the question. Given that plants are daxable, is it true that bins are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.08237558603286743
vest,outerwear,vests,outerwear,no,high,"Answer the question. Given that outerwear is daxable, is it true that vests are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.9048261046409607
webcam,candy,webcams,candy,no,low,"Answer the question. Given that candy is daxable, is it true that webcams are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.0887790396809578
prune,fruit,prunes,fruits,yes,high,"Answer the question. Given that fruits are daxable, is it true that prunes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.76806640625
pocketknife,food,pocketknives,food,no,low,"Answer the question. Given that food is daxable, is it true that pocketknives are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.14665503799915314
tulip,animal,tulips,animals,no,high,"Answer the question. Given that animals are daxable, is it true that tulips are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.5121502876281738
playing card,animal,playing cards,animals,no,low,"Answer the question. Given that animals are daxable, is it true that playing cards are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.12571029365062714
jet,water vehicle,jets,water vehicles,no,high,"Answer the question. Given that water vehicles are daxable, is it true that jets are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.8524495363235474
ruler,school supply,rulers,school supplies,yes,high,"Answer the question. Given that school supplies are daxable, is it true that rulers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7236960530281067
cauliflower,food,cauliflowers,food,yes,high,"Answer the question. Given that food is daxable, is it true that cauliflowers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 10), (20, 24))",0.8002854585647583
hash,garden tool,hash browns,garden tools,no,low,"Answer the question. Given that garden tools are daxable, is it true that hash browns are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.13025440275669098
water filter,kitchen equipment,water filters,kitchen equipment,yes,high,"Answer the question. Given that kitchen equipment is daxable, is it true that water filters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8010150790214539
tortilla,women's clothing,tortillas,women's clothes,no,low,"Answer the question. Given that women's clothes are daxable, is it true that tortillas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 13), (23, 24))",0.15097655355930328
blower,tool,blowers,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that blowers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7360306978225708
apron,outerwear,aprons,outerwear,yes,high,"Answer the question. Given that outerwear is daxable, is it true that aprons are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8456631898880005
eggnog,container,eggnog,containers,no,low,"Answer the question. Given that containers are daxable, is it true that eggnog is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.11680389195680618
bolo tie,women's clothing,bolo ties,women's clothes,no,high,"Answer the question. Given that women's clothes are daxable, is it true that bolo ties are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((9, 12), (22, 24))",0.8999540209770203
mascara,toiletry,mascaras,toiletries,yes,high,"Answer the question. Given that toiletries are daxable, is it true that mascaras are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((10, 11), (21, 24))",0.7562984824180603
peach,food,peaches,food,yes,high,"Answer the question. Given that food is daxable, is it true that peaches are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.7478758692741394
duffel bag,container,duffel bags,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that duffel bags are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.6604193449020386
blouse,clothing,blouses,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that blouses are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8774977326393127
ukulele,plant,ukuleles,plants,no,low,"Answer the question. Given that plants are daxable, is it true that ukuleles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.08345751464366913
cashew,protective clothing,cashews,protective clothing,no,low,"Answer the question. Given that protective clothing is daxable, is it true that cashews are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.1155855655670166
handkerchief,accessory,handkerchiefs,accessories,yes,low,"Answer the question. Given that accessories are daxable, is it true that handkerchiefs are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.6851944923400879
moss,animal,mosses,animals,no,high,"Answer the question. Given that animals are daxable, is it true that mosses are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.5674336552619934
owl,animal,owls,animals,yes,high,"Answer the question. Given that animals are daxable, is it true that owls are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.8650549650192261
glove,protective clothing,gloves,protective clothing,yes,high,"Answer the question. Given that protective clothing is daxable, is it true that gloves are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 14), (24, 24))",0.68394535779953
rabbit,medical equipment,rabbits,medical equipment,no,low,"Answer the question. Given that medical equipment is daxable, is it true that rabbits are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.12074457854032516
stove,kitchen equipment,stoves,kitchen equipment,yes,high,"Answer the question. Given that kitchen equipment is daxable, is it true that stoves are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8549433350563049
tape,fastener,tapes,fasteners,yes,low,"Answer the question. Given that fasteners are daxable, is it true that tapes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 13), (23, 24))",0.616199254989624
coyote,mammal,coyotes,mammals,yes,high,"Answer the question. Given that mammals are daxable, is it true that coyotes are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 12), (22, 24))",0.924033522605896
flyswatter,tool,flyswatters,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that flyswatters are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((11, 11), (21, 24))",0.6014776825904846
walrus,toiletry,walruses,toiletries,no,low,"Answer the question. Given that toiletries are daxable, is it true that walruses are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.13664959371089935
cd player,musical instrument,cd players,musical instruments,no,high,"Answer the question. Given that musical instruments are daxable, is it true that cd players are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.7135571837425232
carriage,vegetable,carriages,vegetables,no,low,"Answer the question. Given that vegetables are daxable, is it true that carriages are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.09688044339418411
nail clippers,medical equipment,nail clippers,medical equipment,no,high,"Answer the question. Given that medical equipment is daxable, is it true that nail clippers are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.6078510880470276
apple tree,food,apple trees,food,no,high,"Answer the question. Given that food is daxable, is it true that apple trees are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.6344170570373535
pea,fruit,peas,fruits,no,high,"Answer the question. Given that fruits are daxable, is it true that peas are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((14, 14), (24, 24))",0.899829089641571
organ,home decor,organs,home decor,no,high,"Answer the question. Given that home decor is daxable, is it true that organs are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.569862425327301
calculator,insect,calculators,insects,no,low,"Answer the question. Given that insects are daxable, is it true that calculators are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.10345008969306946
overalls,protective clothing,overalls,protective clothing,yes,high,"Answer the question. Given that protective clothing is daxable, is it true that overalls are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.8012505173683167
corset,clothing,corsets,clothing,yes,high,"Answer the question. Given that clothing is daxable, is it true that corsets are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.8633688688278198
unicycle,vehicle,unicycles,vehicles,yes,high,"Answer the question. Given that vehicles are daxable, is it true that unicycles are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.7530962228775024
champagne,food,champagne,food,no,high,"Answer the question. Given that food is daxable, is it true that champagne is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.6064857244491577
rat,bird,rats,birds,no,high,"Answer the question. Given that birds are daxable, is it true that rats are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.8796690106391907
kettle,food,kettles,food,no,high,"Answer the question. Given that food is daxable, is it true that kettles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.3902469873428345
gearshift,electronic device,gearshifts,electronic devices,no,high,"Answer the question. Given that electronic devices are daxable, is it true that gearshifts are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.7138242125511169
thermometer,tool,thermometers,tools,yes,high,"Answer the question. Given that tools are daxable, is it true that thermometers are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 12), (22, 24))",0.5817663073539734
hotdog,tool,hotdogs,tools,no,low,"Answer the question. Given that tools are daxable, is it true that hotdogs are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.10218425840139389
tricycle,toy,tricycles,toys,no,high,"Answer the question. Given that toys are daxable, is it true that tricycles are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.8392296433448792
iron,electronic device,irons,electronic devices,yes,high,"Answer the question. Given that electronic devices are daxable, is it true that irons are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((12, 13), (23, 24))",0.7335207462310791
spring roll,footwear,spring rolls,footwear,no,low,"Answer the question. Given that footwear is daxable, is it true that spring rolls are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 13), (23, 24))",0.11136309802532196
granola,container,granola,containers,no,low,"Answer the question. Given that containers are daxable, is it true that granola is daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.11562568694353104
radio,food,radios,food,no,low,"Answer the question. Given that food is daxable, is it true that radios are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((13, 13), (23, 24))",0.13740013539791107
hawk,toiletry,hawks,toiletries,no,low,"Answer the question. Given that toiletries are daxable, is it true that hawks are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((11, 12), (22, 24))",0.13564978539943695
thermos,container,thermoses,containers,yes,low,"Answer the question. Given that containers are daxable, is it true that thermoses are daxable?<0x0A>Answer with Yes/No.<0x0A>",Yes,"((13, 13), (23, 24))",0.3767772316932678
wheelbarrow,vehicle,wheelbarrows,vehicles,no,high,"Answer the question. Given that vehicles are daxable, is it true that wheelbarrows are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.6588274240493774
pomegranate,vehicle,pomegranates,vehicles,no,low,"Answer the question. Given that vehicles are daxable, is it true that pomegranates are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((10, 10), (20, 24))",0.10749876499176025
sunroof,vehicle,sunroofs,vehicles,no,high,"Answer the question. Given that vehicles are daxable, is it true that sunroofs are daxable?<0x0A>Answer with Yes/No.<0x0A>",No,"((12, 12), (22, 24))",0.7638518214225769
